strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_2,additive_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
yyyyyyy,1,Bulgur,87,Sawdust,85,Straw,225,Sawdust,73,Straw,271,CaSO4,CaSO4,CaCO,0.32,0,24,0.8797623226115203,8,4000,Non-Pressed,80,80,17,80,0.033
zzzzzzzz,0,Oatmeal,61,Hemp,86,Straw,248,Grass,84,Grass,256,CaSO4,CaCO,cellulose,0.47,0,27,0.6372380577040094,22,3000,Hot-Pressed,75,18,65,85,0.064
xxxxx,1,Oatmeal,78,Biertreber,96,Straw,234,Sawdust,90,Rapstraw,270,cellulose,CaSO4,CaSO4,0.5,1,20,0.6707042622310195,7,500,Hot-Pressed,75,69,41,85,0.053
yyyyyyy,0,Buckwheat,99,Sawdust,95,Sawdust,235,Grass,63,Straw,246,CaSO4,CaSO4,CaCO,0.31,1,20,0.7148757756902192,14,2000,Non-Pressed,70,39,29,70,0.096
xxxxx,1,BierTreber,59,Rapstraw,93,Rapstraw,296,Vegiplants,63,Sawdust,202,CaSO4,CaSO4,CaCO,0.54,0,25,0.9154263972123209,10,3500,Non-Pressed,70,18,41,85,0.054
zzzzzzzz,1,Buckwheat,81,Biertreber,64,Rapstraw,275,Biertreber,81,Rapstraw,285,CaSO4,CaCO,cellulose,0.57,0,28,0.7988001924138757,16,1500,Non-Pressed,70,42,65,85,0.003
yyyyyyy,1,Oatmeal,87,Grass,94,Hemp,246,Biertreber,50,Hemp,251,CaSO4,CaSO4,CaCO,0.43,0,22,0.6496274882917706,14,500,Hot-Pressed,75,70,65,85,0.047
yyyyyyy,1,BierTreber,67,Rapstraw,52,Biertreber,209,Straw,86,Sawdust,213,cellulose,CaCO,CaSO4,0.54,1,21,0.8824696311684099,7,4500,Non-Pressed,80,43,5,80,0.086
xxxxx,1,Buckwheat,81,Biertreber,94,Grass,215,Grass,92,Straw,286,cellulose,CaCO,CaCO,0.31,0,27,0.7657098511889329,17,500,Non-Pressed,75,59,65,70,0.053
zzzzzzzz,1,Barley,58,Grass,52,Biertreber,245,Rapstraw,57,Hemp,294,CaCO,cellulose,CaSO4,0.34,0,20,0.9168547962117699,8,1500,Cold-Pressed,75,50,53,75,0.059
zzzzzzzz,0,Oatmeal,92,Sawdust,60,Hemp,254,Vegiplants,86,Hemp,233,CaCO,CaSO4,cellulose,0.34,0,24,0.7747125317250038,12,1000,Hot-Pressed,85,12,65,75,0.059
xxxxx,0,BierTreber,84,Grass,74,Hemp,300,Sawdust,90,Vegiplants,299,cellulose,cellulose,CaSO4,0.59,0,18,0.8272160064865254,13,1500,Hot-Pressed,85,68,17,85,0.061
yyyyyyy,0,BierTreber,67,Sawdust,84,Hemp,226,Vegiplants,91,Vegiplants,289,CaCO,cellulose,cellulose,0.55,0,25,0.7493497066692111,25,4500,Non-Pressed,70,61,17,85,0.097
yyyyyyy,1,Barley,62,Biertreber,75,Biertreber,299,Biertreber,74,Grass,267,CaCO,cellulose,CaSO4,0.44,0,28,0.6273284861461924,5,3000,Non-Pressed,75,39,41,80,0.01
zzzzzzzz,0,BierTreber,62,Sawdust,87,Vegiplants,221,Grass,95,Straw,299,cellulose,CaCO,cellulose,0.57,0,27,0.9337891773103335,19,1000,Hot-Pressed,80,73,41,70,0.007
yyyyyyy,0,Buckwheat,65,Rapstraw,65,Hemp,268,Biertreber,83,Hemp,227,cellulose,cellulose,CaCO,0.51,0,21,0.8766707189057992,8,4000,Hot-Pressed,75,11,5,80,0.087
xxxxx,0,Bulgur,99,Sawdust,71,Grass,220,Sawdust,77,Vegiplants,206,CaSO4,cellulose,CaSO4,0.57,0,21,0.8199505622291154,22,1500,Non-Pressed,70,52,41,85,0.011
xxxxx,0,BierTreber,50,Hemp,93,Vegiplants,214,Grass,74,Rapstraw,212,CaCO,CaSO4,cellulose,0.6,1,27,0.8183173364238713,23,4500,Non-Pressed,70,47,65,75,0.031
zzzzzzzz,0,Oatmeal,57,Hemp,80,Grass,256,Hemp,52,Vegiplants,227,CaSO4,CaCO,cellulose,0.57,0,19,0.9236724157701157,22,500,Cold-Pressed,75,43,65,75,0.065
xxxxx,0,Barley,68,Vegiplants,62,Sawdust,244,Biertreber,84,Biertreber,261,cellulose,CaSO4,CaSO4,0.57,1,18,0.7972996745578628,20,3000,Non-Pressed,75,14,29,80,0.071
yyyyyyy,1,Buckwheat,55,Hemp,98,Vegiplants,215,Sawdust,76,Biertreber,287,CaCO,cellulose,CaCO,0.53,0,22,0.7505872981581715,13,3000,Cold-Pressed,70,68,29,70,0.071
xxxxx,0,BierTreber,99,Grass,72,Biertreber,267,Sawdust,87,Hemp,300,CaSO4,cellulose,cellulose,0.33,0,25,0.8089358007600947,17,3500,Hot-Pressed,80,21,5,70,0.008
yyyyyyy,1,BierTreber,97,Grass,86,Straw,212,Straw,62,Grass,295,CaCO,cellulose,cellulose,0.44,0,22,0.6275033693632853,24,1500,Hot-Pressed,85,63,17,75,0.047
yyyyyyy,0,Buckwheat,79,Hemp,99,Hemp,270,Straw,83,Biertreber,209,CaCO,CaSO4,cellulose,0.57,1,26,0.8199434680955029,5,4500,Non-Pressed,70,49,65,80,0.045
zzzzzzzz,0,BierTreber,67,Grass,92,Straw,289,Sawdust,94,Biertreber,202,CaSO4,cellulose,CaSO4,0.39,0,22,0.6728235604341943,24,1500,Hot-Pressed,80,60,65,70,0.055
xxxxx,0,Bulgur,89,Straw,64,Rapstraw,280,Vegiplants,84,Hemp,213,cellulose,cellulose,CaSO4,0.46,1,20,0.8948248239425562,18,2000,Non-Pressed,75,70,17,85,0.075
xxxxx,1,Oatmeal,54,Hemp,100,Straw,298,Hemp,63,Straw,261,CaSO4,CaSO4,CaSO4,0.46,0,21,0.6115019968086185,9,1500,Non-Pressed,75,37,65,80,0.074
yyyyyyy,0,Bulgur,94,Sawdust,50,Hemp,288,Vegiplants,80,Sawdust,275,CaSO4,cellulose,CaCO,0.4,1,25,0.818799934523628,12,4000,Hot-Pressed,75,71,53,80,0.096
zzzzzzzz,1,BierTreber,73,Rapstraw,81,Straw,214,Sawdust,68,Sawdust,262,CaCO,CaCO,CaCO,0.34,1,25,0.7980115220374473,16,4000,Cold-Pressed,80,63,29,85,0.075
xxxxx,1,Buckwheat,81,Sawdust,77,Vegiplants,254,Rapstraw,62,Hemp,233,cellulose,CaSO4,CaCO,0.58,1,24,0.6488651765991611,23,1500,Hot-Pressed,80,54,65,75,0.007
zzzzzzzz,0,Barley,73,Rapstraw,64,Biertreber,275,Biertreber,76,Hemp,239,cellulose,cellulose,CaCO,0.34,0,27,0.8428629932553937,17,4500,Hot-Pressed,80,42,17,85,0.002
xxxxx,0,Barley,83,Rapstraw,55,Hemp,227,Biertreber,92,Sawdust,236,CaCO,CaCO,CaSO4,0.38,1,18,0.9413596477504056,18,4000,Hot-Pressed,75,35,41,80,0.083
xxxxx,0,Barley,63,Grass,63,Biertreber,274,Sawdust,83,Grass,222,CaSO4,CaSO4,CaCO,0.56,1,18,0.90164484330162,14,500,Cold-Pressed,80,59,5,70,0.087
xxxxx,0,Bulgur,62,Grass,70,Biertreber,280,Hemp,92,Biertreber,297,CaSO4,CaCO,CaSO4,0.57,0,24,0.916532203368092,17,3000,Hot-Pressed,85,59,41,70,0.007
xxxxx,0,Bulgur,93,Rapstraw,85,Hemp,263,Biertreber,82,Rapstraw,229,cellulose,CaSO4,cellulose,0.58,0,25,0.6471379868413195,22,500,Hot-Pressed,85,35,5,75,0.095
zzzzzzzz,1,Barley,84,Hemp,91,Rapstraw,236,Straw,64,Hemp,245,cellulose,cellulose,CaSO4,0.31,0,24,0.7241149595299712,11,3000,Hot-Pressed,85,33,5,80,0.058
yyyyyyy,1,Oatmeal,86,Rapstraw,61,Rapstraw,205,Grass,79,Hemp,288,CaCO,cellulose,CaSO4,0.36,1,19,0.7435400002865074,18,3500,Cold-Pressed,70,57,17,85,0.042
yyyyyyy,1,Bulgur,96,Hemp,58,Rapstraw,281,Rapstraw,78,Hemp,214,CaSO4,CaSO4,cellulose,0.41,1,23,0.8139657272861656,12,2000,Non-Pressed,80,72,65,70,0.085
xxxxx,1,BierTreber,60,Biertreber,58,Grass,300,Biertreber,52,Straw,267,CaCO,cellulose,cellulose,0.55,1,23,0.715181809388868,9,2500,Cold-Pressed,75,42,41,70,0.085
zzzzzzzz,0,Barley,92,Sawdust,84,Vegiplants,289,Straw,63,Rapstraw,298,cellulose,CaCO,CaSO4,0.39,1,21,0.8599484446754727,5,3000,Cold-Pressed,80,73,53,80,0.078
xxxxx,1,Bulgur,59,Hemp,66,Hemp,210,Grass,50,Vegiplants,247,CaSO4,CaSO4,cellulose,0.43,0,28,0.8874657782683446,15,1000,Non-Pressed,70,74,53,80,0.093
xxxxx,1,Oatmeal,76,Straw,54,Vegiplants,295,Hemp,67,Vegiplants,240,CaSO4,CaSO4,CaCO,0.32,1,28,0.8429170990050463,7,1000,Cold-Pressed,75,55,17,70,0.023
yyyyyyy,1,Buckwheat,59,Biertreber,53,Sawdust,240,Straw,50,Sawdust,269,CaSO4,cellulose,CaCO,0.48,1,26,0.7429948407233569,18,1500,Non-Pressed,70,54,53,85,0.012
zzzzzzzz,0,Buckwheat,54,Grass,88,Grass,288,Hemp,76,Rapstraw,255,cellulose,CaSO4,CaSO4,0.38,1,20,0.8313206985416681,23,3000,Cold-Pressed,70,62,53,70,0.081
zzzzzzzz,0,Oatmeal,76,Hemp,71,Sawdust,258,Vegiplants,91,Biertreber,245,cellulose,cellulose,cellulose,0.49,1,23,0.8106148442025825,17,2000,Non-Pressed,75,35,5,85,0.049
xxxxx,1,Barley,83,Grass,59,Vegiplants,200,Grass,80,Sawdust,211,cellulose,CaCO,CaCO,0.33,1,22,0.6763919478248785,5,1000,Non-Pressed,75,49,65,85,0.014
zzzzzzzz,0,Oatmeal,94,Grass,68,Sawdust,295,Grass,78,Rapstraw,226,CaSO4,CaSO4,cellulose,0.5,0,28,0.8563557218864789,22,1500,Non-Pressed,75,17,29,80,0.004
xxxxx,0,Bulgur,88,Grass,98,Grass,236,Sawdust,55,Biertreber,226,CaSO4,cellulose,CaSO4,0.31,1,20,0.7734720667297558,23,4000,Cold-Pressed,80,53,29,80,0.015
yyyyyyy,1,Buckwheat,58,Rapstraw,64,Straw,215,Vegiplants,82,Rapstraw,265,CaCO,CaSO4,CaSO4,0.58,0,20,0.6828056405983367,25,4500,Non-Pressed,80,72,17,70,0.032
yyyyyyy,1,Oatmeal,65,Vegiplants,51,Vegiplants,231,Straw,74,Grass,234,cellulose,cellulose,CaSO4,0.58,1,26,0.6274273775739573,19,4500,Non-Pressed,80,21,17,75,0.039
xxxxx,1,Barley,94,Rapstraw,97,Hemp,267,Hemp,50,Hemp,245,cellulose,cellulose,CaSO4,0.43,0,18,0.7278246395163046,24,4500,Non-Pressed,75,50,41,85,0.058
zzzzzzzz,1,Barley,55,Vegiplants,77,Rapstraw,266,Hemp,99,Biertreber,248,cellulose,cellulose,CaSO4,0.33,0,23,0.8309589047172445,17,4500,Hot-Pressed,75,20,17,85,0.055
zzzzzzzz,0,Buckwheat,58,Straw,94,Straw,285,Sawdust,71,Biertreber,252,CaSO4,CaSO4,cellulose,0.34,1,20,0.6523590306756216,20,2000,Non-Pressed,70,65,5,70,0.071
xxxxx,0,Bulgur,67,Biertreber,84,Vegiplants,256,Rapstraw,74,Straw,274,cellulose,cellulose,cellulose,0.32,0,24,0.6603940235649427,21,2500,Non-Pressed,75,75,53,75,0.016
xxxxx,1,Oatmeal,83,Sawdust,89,Rapstraw,276,Grass,93,Rapstraw,256,cellulose,CaSO4,cellulose,0.37,1,27,0.8413387380265918,23,4000,Hot-Pressed,75,57,5,80,0.09
xxxxx,0,Oatmeal,60,Rapstraw,84,Grass,207,Grass,75,Hemp,251,cellulose,CaSO4,CaCO,0.46,0,23,0.9240274282822302,8,2500,Cold-Pressed,75,78,5,80,0.011
zzzzzzzz,1,Buckwheat,61,Biertreber,70,Grass,245,Rapstraw,65,Sawdust,266,cellulose,CaSO4,CaCO,0.47,1,24,0.7202662934332447,21,2000,Non-Pressed,75,45,29,75,0.07
zzzzzzzz,0,Oatmeal,97,Hemp,68,Biertreber,234,Vegiplants,88,Grass,269,cellulose,CaSO4,cellulose,0.4,1,19,0.6053685102102907,25,3000,Non-Pressed,70,71,41,70,0.088
yyyyyyy,0,BierTreber,53,Grass,100,Sawdust,218,Straw,74,Straw,292,cellulose,CaCO,cellulose,0.56,0,18,0.8649721397533492,20,2500,Hot-Pressed,85,58,5,75,0.062
xxxxx,0,Oatmeal,77,Straw,87,Hemp,300,Rapstraw,66,Grass,283,CaSO4,CaCO,CaSO4,0.43,1,28,0.9474279488586306,18,4000,Cold-Pressed,85,56,65,70,0.069
xxxxx,0,Bulgur,75,Vegiplants,97,Hemp,293,Vegiplants,50,Vegiplants,252,CaCO,CaSO4,cellulose,0.59,0,19,0.6022162284189221,14,1000,Hot-Pressed,85,65,41,80,0.016
yyyyyyy,0,BierTreber,64,Hemp,52,Rapstraw,243,Rapstraw,95,Grass,280,cellulose,CaCO,CaSO4,0.52,0,25,0.6757557704835673,6,3500,Cold-Pressed,85,31,29,80,0.047
yyyyyyy,0,Barley,52,Straw,94,Vegiplants,242,Hemp,98,Biertreber,286,CaSO4,cellulose,CaSO4,0.44,0,28,0.6255514145177846,8,3000,Non-Pressed,85,27,17,70,0.015
yyyyyyy,1,Buckwheat,96,Rapstraw,84,Vegiplants,244,Straw,97,Straw,274,CaCO,cellulose,cellulose,0.56,0,23,0.711128431795985,21,2000,Non-Pressed,70,47,17,85,0.099
yyyyyyy,1,Oatmeal,75,Vegiplants,55,Straw,257,Rapstraw,75,Grass,274,CaCO,CaCO,CaSO4,0.37,1,22,0.6081874435065149,11,2000,Cold-Pressed,85,41,65,75,0.059
zzzzzzzz,0,Barley,58,Rapstraw,55,Sawdust,203,Hemp,88,Vegiplants,236,CaCO,cellulose,cellulose,0.57,1,25,0.7166985356558291,22,2500,Cold-Pressed,70,14,41,70,0.035
zzzzzzzz,0,BierTreber,93,Straw,57,Rapstraw,282,Vegiplants,55,Sawdust,209,CaSO4,cellulose,cellulose,0.33,1,27,0.9455234865840426,23,2500,Cold-Pressed,70,41,53,85,0.052
zzzzzzzz,0,Bulgur,75,Sawdust,72,Rapstraw,270,Biertreber,82,Straw,233,CaCO,cellulose,CaCO,0.36,0,26,0.9133358742356574,20,2500,Cold-Pressed,75,24,53,85,0.049
zzzzzzzz,1,Buckwheat,66,Hemp,90,Rapstraw,292,Vegiplants,51,Grass,257,cellulose,CaSO4,cellulose,0.53,1,20,0.8305462550065167,25,2500,Non-Pressed,85,52,17,70,0.06
yyyyyyy,1,Buckwheat,91,Straw,62,Rapstraw,295,Hemp,69,Sawdust,239,CaCO,CaCO,CaCO,0.54,0,22,0.6273595545097336,15,2500,Cold-Pressed,75,57,41,70,0.097
xxxxx,1,BierTreber,100,Grass,66,Rapstraw,221,Grass,60,Sawdust,277,cellulose,CaSO4,cellulose,0.51,0,19,0.8848021595135671,12,2500,Cold-Pressed,70,54,5,75,0.021
yyyyyyy,0,BierTreber,73,Grass,78,Vegiplants,240,Vegiplants,60,Rapstraw,268,CaSO4,cellulose,CaSO4,0.32,1,19,0.9176330948863776,14,1000,Non-Pressed,80,77,53,85,0.099
zzzzzzzz,1,Buckwheat,94,Rapstraw,58,Biertreber,298,Hemp,90,Straw,218,CaCO,CaCO,cellulose,0.49,0,24,0.9437661945300102,21,500,Non-Pressed,85,48,29,75,0.057
zzzzzzzz,0,Buckwheat,99,Rapstraw,97,Grass,224,Grass,98,Hemp,270,CaCO,CaSO4,cellulose,0.54,1,22,0.7018256500702249,20,1500,Cold-Pressed,80,47,53,70,0.024
xxxxx,0,BierTreber,86,Biertreber,97,Rapstraw,249,Rapstraw,66,Biertreber,208,CaCO,CaSO4,cellulose,0.41,0,23,0.6713224282071711,13,3000,Hot-Pressed,70,37,65,70,0.015
zzzzzzzz,1,Bulgur,97,Biertreber,67,Vegiplants,226,Hemp,99,Rapstraw,246,CaSO4,CaCO,cellulose,0.43,0,23,0.882759803130432,18,1500,Hot-Pressed,85,53,65,75,0.031
zzzzzzzz,0,Oatmeal,77,Rapstraw,92,Grass,228,Vegiplants,75,Straw,291,cellulose,CaCO,cellulose,0.59,0,27,0.7882814231476074,19,2000,Cold-Pressed,75,21,17,75,0.064
yyyyyyy,1,Oatmeal,89,Straw,74,Hemp,236,Biertreber,57,Rapstraw,251,CaSO4,CaCO,CaCO,0.31,1,27,0.6557408380568678,21,500,Hot-Pressed,80,48,41,70,0.003
yyyyyyy,0,BierTreber,98,Hemp,67,Hemp,234,Hemp,95,Straw,295,CaCO,cellulose,cellulose,0.51,0,24,0.6653614040945453,7,3500,Non-Pressed,80,80,53,85,0.039
zzzzzzzz,1,Barley,86,Biertreber,88,Biertreber,264,Vegiplants,62,Rapstraw,232,CaCO,cellulose,cellulose,0.52,0,24,0.6088759472517942,5,4000,Hot-Pressed,70,73,5,75,0.042
zzzzzzzz,0,Oatmeal,67,Vegiplants,98,Straw,200,Grass,90,Grass,203,CaCO,CaSO4,cellulose,0.37,0,19,0.8801343920972722,24,4000,Non-Pressed,75,30,41,80,0.093
yyyyyyy,1,Bulgur,53,Hemp,50,Grass,212,Vegiplants,76,Rapstraw,256,CaCO,CaSO4,CaCO,0.42,0,21,0.7077984596116508,21,3500,Non-Pressed,85,35,29,80,0.03
zzzzzzzz,0,Bulgur,55,Hemp,56,Grass,211,Grass,81,Rapstraw,241,CaSO4,CaSO4,CaCO,0.4,1,18,0.8704528321288059,25,4000,Cold-Pressed,75,79,65,75,0.026
yyyyyyy,1,Buckwheat,69,Grass,99,Hemp,282,Straw,73,Straw,263,CaCO,cellulose,CaCO,0.39,1,24,0.670004295920788,22,2500,Cold-Pressed,85,61,65,70,0.095
yyyyyyy,1,Bulgur,83,Sawdust,94,Biertreber,272,Grass,57,Rapstraw,270,CaCO,CaCO,CaCO,0.5,0,22,0.9307446061494586,6,3000,Hot-Pressed,85,20,29,80,0.037
zzzzzzzz,1,Buckwheat,59,Grass,54,Rapstraw,254,Straw,51,Biertreber,276,CaSO4,cellulose,CaCO,0.59,1,24,0.9327605606909956,19,2500,Cold-Pressed,75,64,17,75,0.016
yyyyyyy,0,BierTreber,95,Straw,84,Grass,230,Vegiplants,66,Sawdust,291,cellulose,CaSO4,CaCO,0.56,0,22,0.7625194962753354,24,2000,Hot-Pressed,80,26,65,75,0.05
xxxxx,0,Bulgur,74,Vegiplants,64,Biertreber,242,Vegiplants,75,Biertreber,219,cellulose,cellulose,CaSO4,0.47,1,25,0.9205633400489535,13,4500,Cold-Pressed,80,57,53,75,0.035
zzzzzzzz,0,Barley,63,Grass,52,Rapstraw,273,Rapstraw,97,Biertreber,237,cellulose,CaSO4,CaSO4,0.54,1,25,0.8757029361009903,8,3000,Non-Pressed,85,27,41,85,0.055
zzzzzzzz,1,Bulgur,83,Straw,100,Grass,282,Grass,51,Biertreber,206,CaCO,CaCO,cellulose,0.44,1,26,0.8702838568638821,11,500,Hot-Pressed,70,60,53,85,0.048
xxxxx,0,BierTreber,84,Vegiplants,75,Biertreber,281,Straw,90,Rapstraw,287,cellulose,CaSO4,cellulose,0.36,1,28,0.6300878959658375,14,3000,Non-Pressed,70,16,5,70,0.015
yyyyyyy,1,Oatmeal,77,Straw,74,Sawdust,257,Grass,75,Grass,241,cellulose,CaSO4,CaCO,0.42,1,19,0.6402414443380131,16,500,Non-Pressed,75,20,53,85,0.014
xxxxx,1,Buckwheat,75,Hemp,66,Hemp,270,Grass,96,Straw,261,CaSO4,cellulose,cellulose,0.53,0,28,0.9387422356166044,9,4500,Non-Pressed,70,35,53,80,0.047
yyyyyyy,1,BierTreber,74,Biertreber,71,Sawdust,205,Grass,83,Biertreber,235,CaCO,CaSO4,cellulose,0.37,1,27,0.835265214640268,19,3000,Hot-Pressed,80,37,17,80,0.029
yyyyyyy,1,Oatmeal,94,Rapstraw,85,Straw,222,Hemp,94,Hemp,245,CaCO,CaCO,cellulose,0.34,0,20,0.865195342942962,9,4000,Hot-Pressed,70,44,29,80,0.076
xxxxx,1,BierTreber,55,Rapstraw,52,Biertreber,221,Sawdust,92,Straw,290,CaCO,cellulose,CaCO,0.33,0,19,0.8378331287268012,22,2000,Non-Pressed,85,54,17,70,0.057
zzzzzzzz,0,Bulgur,95,Vegiplants,82,Straw,269,Vegiplants,90,Straw,227,CaCO,CaSO4,CaCO,0.51,0,19,0.8575032903236571,5,2000,Hot-Pressed,85,52,17,80,0.091
xxxxx,1,Barley,54,Grass,59,Rapstraw,285,Vegiplants,53,Sawdust,300,cellulose,CaCO,cellulose,0.46,1,18,0.8204458954630672,7,4000,Hot-Pressed,85,65,29,85,0.022
xxxxx,1,Barley,86,Rapstraw,73,Biertreber,241,Rapstraw,85,Rapstraw,259,CaCO,CaSO4,cellulose,0.51,0,24,0.6375006649326412,15,1500,Non-Pressed,80,60,29,80,0.019
yyyyyyy,0,Bulgur,97,Straw,100,Straw,254,Straw,53,Biertreber,270,CaSO4,CaCO,CaCO,0.57,0,21,0.9447904377080975,16,3500,Non-Pressed,85,22,5,75,0.091
yyyyyyy,0,Buckwheat,72,Sawdust,94,Rapstraw,269,Rapstraw,100,Sawdust,264,CaSO4,cellulose,cellulose,0.39,1,21,0.914676346243133,8,4500,Cold-Pressed,75,42,29,75,0.087
xxxxx,0,Bulgur,72,Sawdust,81,Hemp,217,Sawdust,70,Rapstraw,216,CaSO4,CaSO4,CaCO,0.51,0,25,0.9459201802559427,16,3000,Non-Pressed,75,47,65,75,0.042
xxxxx,0,Oatmeal,62,Rapstraw,56,Biertreber,299,Vegiplants,93,Straw,285,CaCO,CaCO,cellulose,0.33,0,26,0.6411962813428704,13,2000,Hot-Pressed,75,32,17,70,0.047
zzzzzzzz,0,Bulgur,78,Rapstraw,94,Vegiplants,242,Rapstraw,66,Sawdust,289,CaCO,CaSO4,CaSO4,0.35,1,23,0.8008501494681373,16,3500,Hot-Pressed,75,43,53,75,0.051
zzzzzzzz,1,Oatmeal,90,Biertreber,91,Vegiplants,246,Vegiplants,87,Biertreber,262,CaSO4,CaCO,CaSO4,0.58,1,24,0.9291531688073993,9,2500,Hot-Pressed,75,28,5,85,0.08
zzzzzzzz,0,BierTreber,81,Straw,54,Rapstraw,258,Hemp,66,Grass,263,CaSO4,CaSO4,cellulose,0.35,0,24,0.8284348293811163,7,2500,Cold-Pressed,70,32,17,80,0.008
zzzzzzzz,1,Bulgur,50,Sawdust,95,Vegiplants,273,Rapstraw,50,Vegiplants,235,CaSO4,CaCO,CaSO4,0.38,1,23,0.7237402843984618,25,2500,Hot-Pressed,70,72,29,85,0.016
xxxxx,1,BierTreber,72,Rapstraw,89,Straw,283,Straw,55,Vegiplants,219,CaCO,cellulose,CaCO,0.34,0,24,0.8720937324979235,16,3000,Hot-Pressed,80,39,65,75,0.032
zzzzzzzz,1,Oatmeal,77,Hemp,98,Straw,242,Rapstraw,85,Rapstraw,258,CaSO4,CaCO,CaCO,0.32,1,22,0.8549675513563613,15,3000,Cold-Pressed,75,47,41,80,0.095
yyyyyyy,1,Barley,71,Hemp,88,Hemp,248,Straw,66,Biertreber,253,CaCO,cellulose,cellulose,0.56,0,24,0.7254811870644668,17,2500,Hot-Pressed,80,23,65,85,0.051
zzzzzzzz,0,BierTreber,56,Straw,60,Hemp,298,Biertreber,62,Straw,209,CaCO,CaCO,cellulose,0.34,1,24,0.8618974022302563,8,3500,Hot-Pressed,85,59,5,75,0.054
zzzzzzzz,0,BierTreber,68,Hemp,75,Biertreber,272,Rapstraw,56,Straw,219,CaCO,cellulose,CaSO4,0.58,1,22,0.752128543439591,10,4500,Cold-Pressed,80,14,65,80,0.023
zzzzzzzz,0,Buckwheat,52,Biertreber,96,Hemp,229,Grass,94,Straw,241,CaSO4,CaSO4,cellulose,0.42,1,21,0.6472720247395386,21,4500,Cold-Pressed,80,29,5,75,0.089
xxxxx,1,Oatmeal,59,Rapstraw,62,Biertreber,201,Rapstraw,62,Straw,233,cellulose,cellulose,CaSO4,0.54,0,27,0.8903773141128651,21,1000,Cold-Pressed,85,73,5,85,0.031
zzzzzzzz,0,BierTreber,83,Rapstraw,79,Hemp,266,Vegiplants,62,Straw,209,CaSO4,CaSO4,CaSO4,0.31,1,21,0.6949697278221214,20,2000,Non-Pressed,70,61,41,75,0.08
zzzzzzzz,1,Buckwheat,68,Vegiplants,71,Grass,224,Biertreber,80,Sawdust,290,cellulose,cellulose,cellulose,0.52,1,22,0.758312210837216,21,1500,Cold-Pressed,85,45,5,85,0.082
zzzzzzzz,1,Oatmeal,98,Rapstraw,90,Biertreber,266,Straw,51,Sawdust,264,CaCO,cellulose,cellulose,0.38,1,25,0.7098283356299417,6,500,Hot-Pressed,85,60,29,85,0.056
