compressive_strength,compressive_strength_stdev,density,density_stdev,elastic_modulus,elastic_modulus_stdev,elongation_at_break,elongation_at_break_stdev,flexural_modulus,flexural_modulus_stdev,flexural_strenght,flexural_strenght_stdev,tensile_strength,tensile_strength_stdev,thermal_conductivity,thermal_conductivity_stdev,young_modulus,young_modulus_stdev
566,90.56,0.12,0.0204,52,12.48,6,1.2000000000000002,45,7.2,0.2,0.010000000000000002,16.4,4.755999999999999,4.6,0.69,36,2.88
681,108.96000000000001,0.33,0.056100000000000004,36,8.64,5,1.0,36,5.76,0.91,0.045500000000000006,13.0,3.7699999999999996,3.49,0.5235,195,15.6
94,15.040000000000001,0.48,0.0816,30,7.199999999999999,0,0.0,75,12.0,0.27,0.013500000000000002,9.5,2.755,3.38,0.507,72,5.76
1122,179.52,0.07,0.011900000000000003,40,9.6,7,1.4000000000000001,45,7.2,0.13,0.006500000000000001,16.2,4.6979999999999995,2.02,0.303,105,8.4
407,65.12,0.05,0.0085,93,22.32,7,1.4000000000000001,90,14.4,0.58,0.028999999999999998,15.9,4.611,5.68,0.852,294,23.52
501,80.16,0.49,0.0833,50,12.0,3,0.6000000000000001,72,11.52,0.11,0.0055000000000000005,6.9,2.001,6.64,0.9959999999999999,95,7.6000000000000005
736,117.76,0.2,0.034,97,23.279999999999998,4,0.8,30,4.8,0.79,0.03950000000000001,9.3,2.697,0.82,0.12299999999999998,163,13.040000000000001
418,66.88,0.11,0.0187,22,5.279999999999999,0,0.0,16,2.56,0.75,0.037500000000000006,14.3,4.147,1.97,0.2955,267,21.36
838,134.08,0.49,0.0833,35,8.4,6,1.2000000000000002,88,14.08,0.56,0.028000000000000004,7.9,2.291,2.41,0.3615,283,22.64
1129,180.64000000000001,0.32,0.054400000000000004,2,0.48,2,0.4,20,3.2,0.35,0.017499999999999998,14.7,4.263,6.5,0.975,239,19.12
143,22.88,0.46,0.0782,97,23.279999999999998,6,1.2000000000000002,32,5.12,0.53,0.026500000000000003,17.4,5.045999999999999,9.94,1.4909999999999999,491,39.28
665,106.4,0.26,0.0442,82,19.68,3,0.6000000000000001,91,14.56,0.25,0.0125,15.5,4.495,6.81,1.0214999999999999,362,28.96
914,146.24,0.41,0.0697,104,24.96,2,0.4,58,9.28,0.53,0.026500000000000003,6.4,1.8559999999999999,9.35,1.4024999999999999,7,0.56
18,2.88,0.45,0.07650000000000001,24,5.76,4,0.8,90,14.4,0.27,0.013500000000000002,15.0,4.35,4.94,0.741,233,18.64
771,123.36,0.19,0.0323,91,21.84,2,0.4,25,4.0,0.65,0.0325,11.6,3.364,5.02,0.7529999999999999,196,15.68
82,13.120000000000001,0.13,0.0221,114,27.36,1,0.2,44,7.04,0.15,0.0075,9.2,2.6679999999999997,1.9,0.285,238,19.04
584,93.44,0.25,0.0425,42,10.08,3,0.6000000000000001,95,15.200000000000001,0.38,0.019000000000000003,8.0,2.32,2.94,0.441,382,30.560000000000002
775,124.0,0.28,0.04760000000000001,101,24.24,6,1.2000000000000002,71,11.36,0.16,0.008,8.8,2.552,5.56,0.834,237,18.96
416,66.56,0.09,0.015300000000000001,22,5.279999999999999,2,0.4,61,9.76,0.5,0.025,12.5,3.6249999999999996,4.41,0.6615,433,34.64
78,12.48,0.09,0.015300000000000001,28,6.72,2,0.4,40,6.4,0.18,0.009,7.8,2.262,9.59,1.4385,492,39.36
506,80.96000000000001,0.38,0.0646,108,25.919999999999998,5,1.0,23,3.68,0.94,0.047,8.1,2.3489999999999998,4.67,0.7005,434,34.72
588,94.08,0.17,0.028900000000000006,89,21.36,0,0.0,57,9.120000000000001,0.36,0.018,6.1,1.7689999999999997,8.91,1.3365,484,38.72
993,158.88,0.24,0.0408,61,14.639999999999999,4,0.8,82,13.120000000000001,0.32,0.016,16.7,4.842999999999999,0.23,0.0345,128,10.24
1020,163.20000000000002,0.06,0.0102,102,24.48,1,0.2,7,1.12,0.85,0.0425,11.7,3.3929999999999993,8.18,1.2269999999999999,354,28.32
1089,174.24,0.49,0.0833,41,9.84,4,0.8,73,11.68,0.55,0.027500000000000004,13.2,3.8279999999999994,9.52,1.428,181,14.48
451,72.16,0.19,0.0323,16,3.84,7,1.4000000000000001,55,8.8,0.5,0.025,10.0,2.9,3.49,0.5235,187,14.96
749,119.84,0.29,0.049300000000000004,2,0.48,3,0.6000000000000001,23,3.68,0.43,0.021500000000000002,17.4,5.045999999999999,9.36,1.404,19,1.52
1047,167.52,0.45,0.07650000000000001,19,4.56,2,0.4,83,13.280000000000001,0.42,0.021,8.6,2.4939999999999998,5.03,0.7545000000000001,8,0.64
1001,160.16,0.33,0.056100000000000004,109,26.16,4,0.8,27,4.32,0.19,0.009500000000000001,15.7,4.552999999999999,3.5,0.525,257,20.56
744,119.04,0.13,0.0221,5,1.2,6,1.2000000000000002,49,7.84,0.78,0.03900000000000001,12.4,3.5959999999999996,0.23,0.0345,462,36.96
139,22.240000000000002,0.18,0.030600000000000002,75,18.0,7,1.4000000000000001,65,10.4,0.06,0.003,11.8,3.422,0.4,0.06,77,6.16
1135,181.6,0.22,0.0374,72,17.28,1,0.2,12,1.92,0.52,0.026000000000000002,10.3,2.987,5.4,0.81,416,33.28
544,87.04,0.07,0.011900000000000003,102,24.48,7,1.4000000000000001,80,12.8,0.14,0.007000000000000001,16.7,4.842999999999999,9.25,1.3875,499,39.92
1158,185.28,0.4,0.068,17,4.08,5,1.0,76,12.16,0.9,0.045000000000000005,13.8,4.002,7.29,1.0935,334,26.72
573,91.68,0.47,0.0799,54,12.959999999999999,6,1.2000000000000002,25,4.0,0.86,0.043000000000000003,11.4,3.306,9.01,1.3515,68,5.44
627,100.32000000000001,0.09,0.015300000000000001,111,26.64,2,0.4,9,1.44,0.62,0.031,13.8,4.002,5.33,0.7995,270,21.6
476,76.16,0.26,0.0442,59,14.16,1,0.2,1,0.16,0.08,0.004,14.7,4.263,8.44,1.2659999999999998,226,18.080000000000002
904,144.64000000000001,0.35,0.0595,59,14.16,2,0.4,53,8.48,0.9,0.045000000000000005,6.7,1.9429999999999998,3.1,0.46499999999999997,54,4.32
839,134.24,0.33,0.056100000000000004,99,23.759999999999998,4,0.8,91,14.56,0.82,0.041,17.4,5.045999999999999,5.96,0.894,79,6.32
742,118.72,0.25,0.0425,47,11.28,4,0.8,62,9.92,0.24,0.012,11.4,3.306,6.48,0.972,495,39.6
623,99.68,0.16,0.027200000000000002,85,20.4,1,0.2,91,14.56,0.24,0.012,14.9,4.321,7.46,1.119,35,2.8000000000000003
894,143.04,0.47,0.0799,114,27.36,5,1.0,46,7.36,0.45,0.022500000000000003,5.4,1.566,8.22,1.233,299,23.92
28,4.48,0.31,0.052700000000000004,21,5.04,0,0.0,18,2.88,0.94,0.047,13.6,3.9439999999999995,3.73,0.5595,91,7.28
974,155.84,0.24,0.0408,43,10.32,2,0.4,39,6.24,0.92,0.046000000000000006,16.7,4.842999999999999,1.09,0.1635,372,29.76
325,52.0,0.12,0.0204,1,0.24,4,0.8,38,6.08,0.63,0.0315,15.4,4.466,7.99,1.1985,391,31.28
1003,160.48,0.12,0.0204,30,7.199999999999999,0,0.0,56,8.96,0.2,0.010000000000000002,12.3,3.567,4.03,0.6045,257,20.56
806,128.96,0.28,0.04760000000000001,69,16.56,0,0.0,84,13.44,0.88,0.044000000000000004,13.5,3.9149999999999996,6.79,1.0185,227,18.16
366,58.56,0.08,0.013600000000000001,107,25.68,0,0.0,11,1.76,0.33,0.0165,14.7,4.263,9.84,1.476,221,17.68
901,144.16,0.45,0.07650000000000001,61,14.639999999999999,1,0.2,85,13.6,0.6,0.03,6.6,1.9139999999999997,0.4,0.06,420,33.6
564,90.24,0.37,0.0629,27,6.4799999999999995,2,0.4,35,5.6000000000000005,0.2,0.010000000000000002,13.4,3.8859999999999997,1.18,0.177,365,29.2
617,98.72,0.24,0.0408,30,7.199999999999999,1,0.2,52,8.32,0.75,0.037500000000000006,16.6,4.814,8.38,1.2570000000000001,450,36.0
69,11.040000000000001,0.26,0.0442,78,18.72,0,0.0,79,12.64,0.31,0.0155,7.0,2.03,9.03,1.3544999999999998,133,10.64
272,43.52,0.14,0.023800000000000005,24,5.76,6,1.2000000000000002,10,1.6,0.28,0.014000000000000002,5.3,1.537,0.86,0.129,20,1.6
608,97.28,0.49,0.0833,114,27.36,3,0.6000000000000001,35,5.6000000000000005,0.52,0.026000000000000002,7.4,2.146,1.66,0.24899999999999997,479,38.32
595,95.2,0.27,0.0459,97,23.279999999999998,1,0.2,56,8.96,0.21,0.0105,12.9,3.7409999999999997,0.66,0.099,134,10.72
526,84.16,0.46,0.0782,1,0.24,3,0.6000000000000001,55,8.8,0.86,0.043000000000000003,12.1,3.5089999999999995,6.44,0.966,233,18.64
1117,178.72,0.16,0.027200000000000002,1,0.24,1,0.2,58,9.28,0.3,0.015,5.6,1.6239999999999999,6.24,0.9359999999999999,31,2.48
434,69.44,0.06,0.0102,9,2.16,5,1.0,41,6.5600000000000005,0.88,0.044000000000000004,12.7,3.6829999999999994,8.87,1.3304999999999998,7,0.56
431,68.96000000000001,0.21,0.0357,92,22.08,0,0.0,34,5.44,0.47,0.0235,8.6,2.4939999999999998,7.17,1.0755,215,17.2
377,60.32,0.19,0.0323,62,14.879999999999999,0,0.0,8,1.28,0.67,0.0335,7.3,2.117,9.71,1.4565000000000001,413,33.04
225,36.0,0.29,0.049300000000000004,62,14.879999999999999,5,1.0,18,2.88,0.19,0.009500000000000001,11.7,3.3929999999999993,3.68,0.552,69,5.5200000000000005
333,53.28,0.26,0.0442,55,13.2,6,1.2000000000000002,13,2.08,0.91,0.045500000000000006,8.9,2.581,8.67,1.3005,388,31.04
971,155.36,0.1,0.017,36,8.64,4,0.8,27,4.32,0.79,0.03950000000000001,13.8,4.002,9.67,1.4505,456,36.480000000000004
1174,187.84,0.23,0.0391,58,13.92,2,0.4,41,6.5600000000000005,0.88,0.044000000000000004,7.8,2.262,2.04,0.306,269,21.52
869,139.04,0.29,0.049300000000000004,38,9.12,7,1.4000000000000001,16,2.56,0.46,0.023000000000000003,16.5,4.784999999999999,4.48,0.672,73,5.84
1008,161.28,0.16,0.027200000000000002,42,10.08,4,0.8,84,13.44,0.68,0.034,10.3,2.987,4.13,0.6194999999999999,340,27.2
1163,186.08,0.31,0.052700000000000004,94,22.56,3,0.6000000000000001,30,4.8,0.27,0.013500000000000002,13.4,3.8859999999999997,2.28,0.34199999999999997,413,33.04
289,46.24,0.44,0.0748,34,8.16,1,0.2,17,2.72,0.25,0.0125,14.5,4.205,9.05,1.3575000000000002,499,39.92
845,135.2,0.21,0.0357,10,2.4,6,1.2000000000000002,41,6.5600000000000005,0.13,0.006500000000000001,5.4,1.566,5.71,0.8564999999999999,283,22.64
145,23.2,0.4,0.068,103,24.72,5,1.0,5,0.8,0.8,0.04000000000000001,10.8,3.132,4.27,0.6405,383,30.64
835,133.6,0.22,0.0374,101,24.24,4,0.8,0,0.0,0.38,0.019000000000000003,8.3,2.407,6.91,1.0365,231,18.48
535,85.60000000000001,0.12,0.0204,18,4.32,6,1.2000000000000002,39,6.24,0.47,0.0235,15.9,4.611,7.05,1.0574999999999999,234,18.72
558,89.28,0.13,0.0221,85,20.4,5,1.0,50,8.0,0.83,0.0415,16.4,4.755999999999999,7.26,1.089,433,34.64
842,134.72,0.28,0.04760000000000001,73,17.52,1,0.2,7,1.12,0.47,0.0235,5.4,1.566,9.4,1.41,236,18.88
400,64.0,0.48,0.0816,84,20.16,7,1.4000000000000001,49,7.84,0.66,0.033,9.7,2.8129999999999997,5.67,0.8504999999999999,437,34.96
1088,174.08,0.17,0.028900000000000006,14,3.36,0,0.0,30,4.8,0.92,0.046000000000000006,11.4,3.306,7.72,1.158,238,19.04
986,157.76,0.34,0.05780000000000001,48,11.52,7,1.4000000000000001,6,0.96,0.82,0.041,12.4,3.5959999999999996,5.16,0.774,282,22.56
150,24.0,0.42,0.0714,66,15.84,7,1.4000000000000001,52,8.32,0.87,0.043500000000000004,13.5,3.9149999999999996,0.59,0.0885,353,28.240000000000002
963,154.08,0.23,0.0391,63,15.12,7,1.4000000000000001,76,12.16,0.68,0.034,11.8,3.422,8.29,1.2434999999999998,30,2.4
422,67.52,0.5,0.085,46,11.04,3,0.6000000000000001,94,15.040000000000001,0.56,0.028000000000000004,12.3,3.567,2.56,0.384,173,13.84
156,24.96,0.11,0.0187,16,3.84,5,1.0,73,11.68,0.82,0.041,15.0,4.35,6.11,0.9165,378,30.240000000000002
572,91.52,0.48,0.0816,57,13.68,5,1.0,21,3.36,0.38,0.019000000000000003,16.1,4.6690000000000005,4.92,0.738,382,30.560000000000002
1118,178.88,0.09,0.015300000000000001,10,2.4,6,1.2000000000000002,93,14.88,0.36,0.018,10.5,3.045,0.49,0.0735,104,8.32
23,3.68,0.25,0.0425,8,1.92,0,0.0,81,12.96,0.71,0.0355,9.0,2.61,1.45,0.2175,191,15.280000000000001
133,21.28,0.09,0.015300000000000001,17,4.08,4,0.8,90,14.4,0.62,0.031,14.6,4.234,0.12,0.018,137,10.96
881,140.96,0.29,0.049300000000000004,29,6.96,3,0.6000000000000001,15,2.4,0.48,0.024,11.8,3.422,3.92,0.588,272,21.76
17,2.72,0.08,0.013600000000000001,22,5.279999999999999,6,1.2000000000000002,19,3.04,0.86,0.043000000000000003,8.2,2.3779999999999997,3.09,0.46349999999999997,478,38.24
443,70.88,0.14,0.023800000000000005,17,4.08,4,0.8,49,7.84,0.16,0.008,9.4,2.726,0.43,0.0645,225,18.0
183,29.28,0.47,0.0799,42,10.08,6,1.2000000000000002,36,5.76,0.37,0.0185,8.6,2.4939999999999998,9.2,1.38,448,35.84
585,93.60000000000001,0.15,0.025500000000000002,77,18.48,3,0.6000000000000001,79,12.64,0.8,0.04000000000000001,5.6,1.6239999999999999,1.36,0.20400000000000001,464,37.12
17,2.72,0.4,0.068,47,11.28,5,1.0,4,0.64,0.32,0.016,15.4,4.466,5.17,0.7755,177,14.16
1024,163.84,0.29,0.049300000000000004,96,23.04,0,0.0,19,3.04,0.66,0.033,15.6,4.524,1.79,0.2685,260,20.8
973,155.68,0.25,0.0425,84,20.16,7,1.4000000000000001,70,11.200000000000001,0.4,0.020000000000000004,14.4,4.176,9.79,1.4685,296,23.68
790,126.4,0.36,0.061200000000000004,30,7.199999999999999,7,1.4000000000000001,9,1.44,0.82,0.041,6.0,1.7399999999999998,2.98,0.447,170,13.6
1010,161.6,0.43,0.0731,78,18.72,0,0.0,19,3.04,0.21,0.0105,7.9,2.291,1.91,0.2865,160,12.8
1062,169.92000000000002,0.48,0.0816,115,27.599999999999998,2,0.4,29,4.64,0.07,0.0035000000000000005,11.5,3.335,0.31,0.0465,494,39.52
277,44.32,0.34,0.05780000000000001,33,7.92,2,0.4,32,5.12,0.75,0.037500000000000006,8.1,2.3489999999999998,4.28,0.642,255,20.400000000000002
492,78.72,0.24,0.0408,60,14.399999999999999,6,1.2000000000000002,53,8.48,0.52,0.026000000000000002,13.7,3.9729999999999994,3.86,0.579,262,20.96
469,75.04,0.31,0.052700000000000004,45,10.799999999999999,1,0.2,88,14.08,0.53,0.026500000000000003,10.4,3.016,4.45,0.6675,439,35.12
586,93.76,0.14,0.023800000000000005,54,12.959999999999999,5,1.0,72,11.52,0.69,0.034499999999999996,15.7,4.552999999999999,3.51,0.5265,471,37.68
319,51.04,0.11,0.0187,43,10.32,4,0.8,38,6.08,0.15,0.0075,12.5,3.6249999999999996,8.75,1.3125,123,9.84
472,75.52,0.24,0.0408,109,26.16,1,0.2,48,7.68,0.21,0.0105,7.2,2.088,9.62,1.4429999999999998,88,7.04
380,60.800000000000004,0.19,0.0323,96,23.04,4,0.8,20,3.2,0.51,0.025500000000000002,17.0,4.93,7.03,1.0545,480,38.4
83,13.280000000000001,0.33,0.056100000000000004,96,23.04,2,0.4,51,8.16,0.2,0.010000000000000002,16.7,4.842999999999999,0.21,0.0315,481,38.480000000000004
754,120.64,0.1,0.017,23,5.52,5,1.0,66,10.56,0.87,0.043500000000000004,16.7,4.842999999999999,7.68,1.152,93,7.44
393,62.88,0.12,0.0204,19,4.56,0,0.0,35,5.6000000000000005,0.08,0.004,14.5,4.205,2.94,0.441,100,8.0
505,80.8,0.36,0.061200000000000004,14,3.36,3,0.6000000000000001,27,4.32,0.6,0.03,12.4,3.5959999999999996,6.15,0.9225,489,39.12
408,65.28,0.45,0.07650000000000001,96,23.04,1,0.2,1,0.16,0.31,0.0155,13.8,4.002,0.11,0.0165,47,3.7600000000000002
212,33.92,0.3,0.051000000000000004,62,14.879999999999999,6,1.2000000000000002,48,7.68,0.62,0.031,17.4,5.045999999999999,1.46,0.219,210,16.8
1006,160.96,0.21,0.0357,108,25.919999999999998,3,0.6000000000000001,70,11.200000000000001,0.86,0.043000000000000003,14.6,4.234,8.83,1.3245,196,15.68
535,85.60000000000001,0.26,0.0442,25,6.0,1,0.2,10,1.6,0.69,0.034499999999999996,13.3,3.8569999999999998,7.96,1.194,146,11.68
838,134.08,0.41,0.0697,92,22.08,4,0.8,18,2.88,0.42,0.021,6.8,1.9719999999999998,5.56,0.834,7,0.56
894,143.04,0.28,0.04760000000000001,48,11.52,5,1.0,29,4.64,0.45,0.022500000000000003,15.7,4.552999999999999,3.53,0.5295,57,4.5600000000000005
383,61.28,0.45,0.07650000000000001,29,6.96,5,1.0,86,13.76,0.19,0.009500000000000001,7.8,2.262,3.46,0.519,278,22.240000000000002
552,88.32000000000001,0.23,0.0391,5,1.2,3,0.6000000000000001,21,3.36,0.17,0.0085,6.9,2.001,0.88,0.132,495,39.6
387,61.92,0.09,0.015300000000000001,74,17.759999999999998,3,0.6000000000000001,88,14.08,0.2,0.010000000000000002,15.6,4.524,0.94,0.141,366,29.28
420,67.2,0.15,0.025500000000000002,99,23.759999999999998,7,1.4000000000000001,3,0.48,0.85,0.0425,13.8,4.002,2.53,0.37949999999999995,229,18.32
361,57.76,0.39,0.06630000000000001,84,20.16,7,1.4000000000000001,4,0.64,0.22,0.011000000000000001,8.4,2.436,5.54,0.831,216,17.28
339,54.24,0.22,0.0374,79,18.96,2,0.4,44,7.04,0.77,0.038500000000000006,14.5,4.205,3.17,0.4755,212,16.96
1083,173.28,0.16,0.027200000000000002,101,24.24,6,1.2000000000000002,40,6.4,0.38,0.019000000000000003,8.5,2.465,5.53,0.8295,231,18.48
67,10.72,0.19,0.0323,86,20.64,6,1.2000000000000002,16,2.56,0.4,0.020000000000000004,9.2,2.6679999999999997,1.66,0.24899999999999997,285,22.8
932,149.12,0.43,0.0731,62,14.879999999999999,6,1.2000000000000002,81,12.96,0.22,0.011000000000000001,10.2,2.9579999999999997,4.97,0.7454999999999999,133,10.64
1141,182.56,0.38,0.0646,25,6.0,1,0.2,23,3.68,0.8,0.04000000000000001,13.1,3.7989999999999995,4.9,0.735,320,25.6
848,135.68,0.21,0.0357,33,7.92,7,1.4000000000000001,17,2.72,0.77,0.038500000000000006,11.8,3.422,4.31,0.6465,391,31.28
819,131.04,0.34,0.05780000000000001,2,0.48,1,0.2,17,2.72,0.69,0.034499999999999996,10.6,3.074,5.15,0.7725000000000001,187,14.96
468,74.88,0.42,0.0714,51,12.24,7,1.4000000000000001,69,11.040000000000001,0.6,0.03,8.3,2.407,8.55,1.2825,132,10.56
398,63.68,0.28,0.04760000000000001,96,23.04,0,0.0,72,11.52,0.08,0.004,16.6,4.814,4.11,0.6165,247,19.76
363,58.08,0.17,0.028900000000000006,77,18.48,7,1.4000000000000001,93,14.88,0.8,0.04000000000000001,8.6,2.4939999999999998,9.75,1.4625,388,31.04
218,34.88,0.06,0.0102,0,0.0,0,0.0,52,8.32,0.13,0.006500000000000001,12.3,3.567,4.04,0.606,495,39.6
675,108.0,0.12,0.0204,33,7.92,5,1.0,73,11.68,0.35,0.017499999999999998,10.2,2.9579999999999997,6.87,1.0305,370,29.6
988,158.08,0.25,0.0425,12,2.88,4,0.8,67,10.72,0.21,0.0105,12.2,3.5379999999999994,5.45,0.8175,154,12.32
853,136.48,0.12,0.0204,10,2.4,4,0.8,58,9.28,0.46,0.023000000000000003,6.5,1.8849999999999998,7.47,1.1204999999999998,292,23.36
667,106.72,0.15,0.025500000000000002,12,2.88,4,0.8,54,8.64,0.53,0.026500000000000003,12.2,3.5379999999999994,0.54,0.081,407,32.56
425,68.0,0.46,0.0782,101,24.24,7,1.4000000000000001,68,10.88,0.72,0.036,8.2,2.3779999999999997,9.3,1.395,293,23.44
415,66.4,0.47,0.0799,40,9.6,0,0.0,69,11.040000000000001,0.63,0.0315,8.4,2.436,9.33,1.3995,141,11.28
445,71.2,0.48,0.0816,32,7.68,0,0.0,72,11.52,0.33,0.0165,7.9,2.291,0.81,0.1215,152,12.16
398,63.68,0.44,0.0748,94,22.56,2,0.4,53,8.48,0.43,0.021500000000000002,8.0,2.32,3.9,0.585,147,11.76
634,101.44,0.4,0.068,44,10.559999999999999,4,0.8,67,10.72,0.41,0.0205,13.3,3.8569999999999998,7.82,1.173,296,23.68
86,13.76,0.32,0.054400000000000004,30,7.199999999999999,2,0.4,36,5.76,0.36,0.018,12.9,3.7409999999999997,2.36,0.354,46,3.68
372,59.52,0.43,0.0731,83,19.919999999999998,5,1.0,75,12.0,0.77,0.038500000000000006,9.5,2.755,3.68,0.552,175,14.0
909,145.44,0.42,0.0714,90,21.599999999999998,5,1.0,43,6.88,0.66,0.033,13.7,3.9729999999999994,6.18,0.9269999999999999,75,6.0
791,126.56,0.39,0.06630000000000001,19,4.56,1,0.2,64,10.24,0.67,0.0335,15.1,4.379,6.42,0.963,269,21.52
250,40.0,0.13,0.0221,72,17.28,4,0.8,2,0.32,0.54,0.027000000000000003,13.1,3.7989999999999995,0.23,0.0345,331,26.48
371,59.36,0.33,0.056100000000000004,38,9.12,0,0.0,24,3.84,0.49,0.0245,8.7,2.5229999999999997,8.75,1.3125,14,1.12
585,93.60000000000001,0.32,0.054400000000000004,93,22.32,1,0.2,23,3.68,0.11,0.0055000000000000005,6.1,1.7689999999999997,3.74,0.561,152,12.16
672,107.52,0.13,0.0221,47,11.28,6,1.2000000000000002,70,11.200000000000001,0.72,0.036,10.8,3.132,1.79,0.2685,213,17.04
0,0.0,0.47,0.0799,42,10.08,3,0.6000000000000001,28,4.48,0.55,0.027500000000000004,5.5,1.595,2.12,0.318,379,30.32
351,56.160000000000004,0.43,0.0731,112,26.88,4,0.8,4,0.64,0.76,0.038000000000000006,8.1,2.3489999999999998,2.48,0.372,117,9.36
134,21.44,0.33,0.056100000000000004,87,20.88,1,0.2,69,11.040000000000001,0.08,0.004,16.9,4.900999999999999,5.48,0.8220000000000001,127,10.16
800,128.0,0.44,0.0748,40,9.6,5,1.0,49,7.84,0.07,0.0035000000000000005,10.6,3.074,8.07,1.2105,10,0.8
1005,160.8,0.42,0.0714,71,17.04,5,1.0,36,5.76,0.84,0.042,17.4,5.045999999999999,3.61,0.5415,60,4.8
913,146.08,0.23,0.0391,4,0.96,6,1.2000000000000002,58,9.28,0.81,0.04050000000000001,5.0,1.45,3.17,0.4755,144,11.52
225,36.0,0.07,0.011900000000000003,60,14.399999999999999,1,0.2,45,7.2,0.18,0.009,5.9,1.711,1.76,0.264,473,37.84
1005,160.8,0.38,0.0646,17,4.08,5,1.0,31,4.96,0.07,0.0035000000000000005,14.1,4.0889999999999995,4.34,0.6509999999999999,196,15.68
1193,190.88,0.29,0.049300000000000004,82,19.68,6,1.2000000000000002,45,7.2,0.69,0.034499999999999996,12.9,3.7409999999999997,6.59,0.9884999999999999,169,13.52
1051,168.16,0.21,0.0357,33,7.92,5,1.0,14,2.24,0.73,0.0365,15.3,4.437,6.92,1.038,454,36.32
481,76.96000000000001,0.35,0.0595,86,20.64,4,0.8,38,6.08,0.82,0.041,7.8,2.262,2.04,0.306,39,3.12
