strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_weight_1,additive_2,additive_weight_2,additive_3,additive_weight_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
zzzzzzzz,0,BierTreber,76,Vegiplants,175.0,Grass,191.0,Biertreber,275.0,Straw,259.0,CaSO4,409.0,CaCO,348.0,CaSO4,143.0,0.53,0,18,0.82,13,500,Cold-Pressed,85,27,17,85,0.069
xxxxx,0,BierTreber,60,Biertreber,284.0,Vegiplants,102.0,Hemp,218.0,Grass,296.0,CaCO,669.0,cellulose,173.0,CaCO,58.0,0.34,1,20,0.64,7,1500,Hot-Pressed,70,79,41,85,0.074
zzzzzzzz,1,Bulgur,80,Sawdust,0.0,Biertreber,303.0,Sawdust,230.0,Vegiplants,367.0,CaSO4,605.0,CaCO,89.0,CaCO,207.0,0.32,1,25,0.73,14,2000,Cold-Pressed,70,39,29,75,0.082
zzzzzzzz,1,Buckwheat,86,Straw,115.0,Grass,362.0,Hemp,274.0,Grass,148.0,cellulose,8.0,CaSO4,558.0,CaSO4,335.0,0.43,1,27,0.69,25,3500,Hot-Pressed,80,58,29,80,0.06
zzzzzzzz,0,Barley,83,Hemp,106.0,Straw,267.0,Vegiplants,356.0,Hemp,172.0,CaCO,362.0,cellulose,424.0,CaCO,114.0,0.45,0,27,0.79,25,1000,Hot-Pressed,70,25,29,70,0.01
xxxxx,1,Bulgur,74,Grass,616.0,Sawdust,158.0,Biertreber,95.0,Grass,32.0,CaCO,443.0,cellulose,430.0,cellulose,27.0,0.34,0,28,0.73,18,500,Cold-Pressed,85,34,41,75,0.075
yyyyyyy,1,Barley,51,Vegiplants,266.0,Grass,172.0,Biertreber,225.0,Grass,237.0,CaCO,24.0,cellulose,608.0,CaSO4,268.0,0.52,0,27,0.66,18,3000,Cold-Pressed,75,57,17,75,0.086
yyyyyyy,0,Bulgur,54,Vegiplants,415.0,Grass,20.0,Grass,307.0,Sawdust,158.0,CaSO4,269.0,CaCO,531.0,CaSO4,99.0,0.47,0,26,0.92,6,500,Hot-Pressed,70,75,5,85,0.049
xxxxx,1,Oatmeal,81,Sawdust,11.0,Grass,467.0,Sawdust,234.0,Sawdust,188.0,CaCO,340.0,cellulose,440.0,CaCO,120.0,0.35,1,28,0.66,23,3500,Cold-Pressed,80,56,17,70,0.052
yyyyyyy,1,BierTreber,53,Grass,313.0,Rapstraw,240.0,Hemp,161.0,Hemp,186.0,cellulose,331.0,cellulose,413.0,CaSO4,156.0,0.36,1,18,0.64,8,1500,Cold-Pressed,70,45,5,85,0.078
xxxxx,0,Oatmeal,75,Rapstraw,94.0,Grass,270.0,Straw,301.0,Rapstraw,235.0,cellulose,239.0,CaSO4,239.0,cellulose,423.0,0.39,1,26,0.72,17,4000,Cold-Pressed,75,33,17,80,0.096
zzzzzzzz,0,Buckwheat,60,Grass,218.0,Grass,517.0,Sawdust,138.0,Hemp,27.0,CaCO,435.0,cellulose,133.0,cellulose,332.0,0.39,0,28,0.83,17,2500,Hot-Pressed,85,64,17,80,0.008
xxxxx,0,Buckwheat,86,Hemp,174.0,Biertreber,247.0,Biertreber,238.0,Rapstraw,241.0,cellulose,291.0,CaSO4,44.0,cellulose,565.0,0.41,0,22,0.79,9,2500,Hot-Pressed,70,37,53,75,0.004
xxxxx,1,Bulgur,84,Sawdust,344.0,Rapstraw,144.0,Straw,220.0,Hemp,192.0,cellulose,425.0,CaSO4,104.0,cellulose,371.0,0.35,0,22,0.71,5,4000,Hot-Pressed,75,22,65,80,0.048
yyyyyyy,1,Oatmeal,60,Straw,371.0,Straw,183.0,Grass,38.0,Hemp,308.0,cellulose,420.0,cellulose,340.0,CaSO4,140.0,0.33,1,18,0.9,24,500,Non-Pressed,85,52,17,70,0.081
yyyyyyy,0,Barley,60,Hemp,16.0,Hemp,57.0,Hemp,393.0,Grass,434.0,CaSO4,777.0,CaSO4,82.0,cellulose,41.0,0.54,1,25,0.78,8,4000,Cold-Pressed,70,50,41,85,0.035
xxxxx,0,Buckwheat,94,Vegiplants,199.0,Vegiplants,319.0,Vegiplants,191.0,Straw,191.0,cellulose,257.0,CaCO,583.0,cellulose,60.0,0.47,1,20,0.71,8,2000,Cold-Pressed,80,20,5,75,0.005
xxxxx,1,Oatmeal,79,Straw,230.0,Vegiplants,294.0,Sawdust,305.0,Biertreber,71.0,CaCO,425.0,CaSO4,366.0,CaSO4,109.0,0.47,1,24,0.71,8,500,Non-Pressed,70,59,29,80,0.078
xxxxx,1,Buckwheat,98,Straw,330.0,Hemp,394.0,Sawdust,91.0,Straw,84.0,CaSO4,475.0,cellulose,404.0,CaSO4,20.0,0.44,1,24,0.62,9,4000,Cold-Pressed,80,57,5,70,0.093
yyyyyyy,0,BierTreber,65,Vegiplants,0.0,Vegiplants,286.0,Straw,579.0,Hemp,35.0,CaCO,143.0,CaSO4,178.0,CaSO4,579.0,0.43,0,25,0.81,24,4500,Cold-Pressed,75,51,29,85,0.07
zzzzzzzz,1,BierTreber,95,Grass,273.0,Hemp,282.0,Hemp,316.0,Vegiplants,30.0,CaSO4,319.0,CaSO4,271.0,cellulose,311.0,0.5,0,18,0.91,18,3000,Hot-Pressed,80,42,65,70,0.023
yyyyyyy,1,Barley,56,Sawdust,174.0,Hemp,142.0,Vegiplants,221.0,Biertreber,363.0,CaCO,55.0,CaCO,470.0,CaCO,376.0,0.36,0,19,0.8,14,4500,Hot-Pressed,75,58,41,70,0.06
zzzzzzzz,1,Buckwheat,70,Vegiplants,343.0,Biertreber,186.0,Sawdust,129.0,Sawdust,243.0,CaSO4,322.0,cellulose,511.0,cellulose,67.0,0.58,1,20,0.85,19,4000,Hot-Pressed,85,21,5,70,0.084
xxxxx,1,Barley,50,Sawdust,154.0,Biertreber,351.0,Rapstraw,249.0,Grass,146.0,CaCO,404.0,CaCO,210.0,cellulose,286.0,0.55,1,23,0.87,25,4000,Non-Pressed,85,80,17,75,0.022
xxxxx,0,Oatmeal,98,Hemp,265.0,Vegiplants,289.0,Grass,69.0,Straw,277.0,cellulose,159.0,CaCO,533.0,CaCO,208.0,0.33,1,27,0.87,7,1000,Cold-Pressed,85,60,29,70,0.081
yyyyyyy,0,Oatmeal,68,Grass,192.0,Vegiplants,266.0,Hemp,242.0,Vegiplants,201.0,cellulose,17.0,cellulose,275.0,CaCO,608.0,0.45,0,21,0.69,6,4000,Hot-Pressed,85,18,41,75,0.057
xxxxx,1,Bulgur,72,Rapstraw,225.0,Rapstraw,229.0,Grass,162.0,Grass,284.0,CaSO4,320.0,CaCO,221.0,CaCO,359.0,0.59,0,18,0.73,25,1000,Cold-Pressed,70,43,29,75,0.016
xxxxx,0,Buckwheat,54,Grass,256.0,Straw,111.0,Straw,111.0,Vegiplants,422.0,CaSO4,415.0,CaCO,433.0,cellulose,52.0,0.34,1,22,0.89,21,1500,Non-Pressed,85,76,53,75,0.089
xxxxx,0,Barley,55,Rapstraw,109.0,Straw,350.0,Rapstraw,418.0,Straw,23.0,CaSO4,334.0,CaCO,296.0,CaSO4,270.0,0.42,1,27,0.72,12,2000,Cold-Pressed,75,10,5,80,0.048
yyyyyyy,1,Barley,70,Vegiplants,288.0,Grass,56.0,Rapstraw,399.0,Biertreber,157.0,cellulose,231.0,CaSO4,279.0,CaCO,390.0,0.42,0,22,0.9,17,1500,Non-Pressed,80,26,53,80,0.035
yyyyyyy,0,Oatmeal,80,Biertreber,226.0,Vegiplants,89.0,Biertreber,307.0,Hemp,278.0,CaSO4,510.0,CaSO4,36.0,CaSO4,354.0,0.47,1,18,0.63,11,2000,Cold-Pressed,70,71,5,75,0.028
yyyyyyy,1,Buckwheat,78,Rapstraw,321.0,Grass,386.0,Hemp,129.0,Grass,64.0,cellulose,345.0,CaCO,387.0,cellulose,167.0,0.33,1,25,0.84,14,3500,Non-Pressed,75,50,29,70,0.046
zzzzzzzz,0,Buckwheat,88,Straw,150.0,Vegiplants,82.0,Hemp,295.0,Biertreber,373.0,CaCO,215.0,cellulose,259.0,CaCO,426.0,0.47,0,28,0.86,20,500,Non-Pressed,85,62,5,70,0.047
xxxxx,0,BierTreber,95,Rapstraw,475.0,Grass,59.0,Hemp,356.0,Sawdust,10.0,cellulose,340.0,CaCO,97.0,CaSO4,463.0,0.39,1,22,0.78,12,3500,Cold-Pressed,80,15,5,75,0.043
xxxxx,0,Buckwheat,100,Biertreber,302.0,Sawdust,266.0,Grass,210.0,Sawdust,122.0,cellulose,114.0,CaSO4,484.0,cellulose,302.0,0.47,1,26,0.91,23,4500,Cold-Pressed,70,68,65,75,0.079
xxxxx,0,Oatmeal,73,Grass,261.0,Biertreber,179.0,Rapstraw,284.0,Biertreber,176.0,cellulose,251.0,CaSO4,326.0,cellulose,322.0,0.44,1,23,0.64,5,4500,Hot-Pressed,80,60,17,70,0.022
xxxxx,0,Buckwheat,53,Hemp,67.0,Sawdust,84.0,Biertreber,328.0,Vegiplants,421.0,CaCO,256.0,CaCO,519.0,CaCO,125.0,0.45,0,20,0.64,5,1000,Hot-Pressed,70,53,17,70,0.022
zzzzzzzz,1,Barley,57,Rapstraw,238.0,Vegiplants,199.0,Rapstraw,207.0,Grass,255.0,CaCO,593.0,CaSO4,78.0,cellulose,228.0,0.38,0,23,0.8,6,2000,Cold-Pressed,85,70,29,85,0.033
xxxxx,1,Barley,59,Hemp,120.0,Straw,415.0,Hemp,63.0,Straw,302.0,cellulose,207.0,CaSO4,201.0,cellulose,492.0,0.47,1,18,0.81,5,3500,Cold-Pressed,70,59,5,75,0.071
yyyyyyy,0,BierTreber,86,Vegiplants,224.0,Grass,13.0,Rapstraw,263.0,Vegiplants,400.0,cellulose,39.0,cellulose,450.0,cellulose,411.0,0.33,1,20,0.82,16,2500,Non-Pressed,75,22,41,85,0.096
yyyyyyy,1,Oatmeal,99,Hemp,236.0,Sawdust,8.0,Biertreber,395.0,Biertreber,261.0,CaCO,200.0,CaSO4,381.0,cellulose,319.0,0.35,1,19,0.88,7,1000,Non-Pressed,85,25,17,75,0.057
zzzzzzzz,1,Bulgur,84,Biertreber,40.0,Sawdust,345.0,Straw,294.0,Grass,221.0,CaSO4,688.0,CaCO,106.0,CaSO4,106.0,0.38,1,24,0.75,24,4500,Non-Pressed,75,12,53,75,0.014
zzzzzzzz,0,Buckwheat,77,Hemp,244.0,Sawdust,175.0,Sawdust,230.0,Biertreber,251.0,cellulose,253.0,CaSO4,259.0,CaSO4,388.0,0.41,0,23,0.93,20,1500,Cold-Pressed,80,11,5,70,0.066
yyyyyyy,0,BierTreber,91,Sawdust,135.0,Straw,266.0,Biertreber,250.0,Hemp,250.0,cellulose,47.0,CaCO,606.0,CaSO4,246.0,0.47,1,18,0.61,12,1000,Cold-Pressed,75,52,53,75,0.077
xxxxx,0,Bulgur,94,Biertreber,152.0,Straw,227.0,Hemp,264.0,Straw,257.0,CaSO4,154.0,CaCO,22.0,CaCO,724.0,0.52,0,19,0.91,20,4000,Cold-Pressed,75,66,5,85,0.056
yyyyyyy,0,BierTreber,61,Grass,218.0,Hemp,370.0,Straw,58.0,Biertreber,253.0,CaCO,103.0,cellulose,245.0,cellulose,553.0,0.48,0,25,0.63,11,2000,Non-Pressed,70,18,29,85,0.014
zzzzzzzz,1,BierTreber,61,Rapstraw,28.0,Biertreber,522.0,Biertreber,250.0,Sawdust,100.0,cellulose,200.0,CaCO,525.0,cellulose,175.0,0.53,0,26,0.83,13,4500,Hot-Pressed,80,44,5,80,0.043
yyyyyyy,1,Buckwheat,50,Vegiplants,315.0,Biertreber,223.0,Grass,32.0,Grass,331.0,cellulose,73.0,CaSO4,276.0,cellulose,551.0,0.5,0,23,0.61,18,500,Hot-Pressed,80,57,17,70,0.019
xxxxx,0,Bulgur,96,Grass,15.0,Grass,68.0,Rapstraw,575.0,Biertreber,242.0,CaSO4,300.0,CaSO4,193.0,CaSO4,407.0,0.3,0,27,0.71,16,2500,Hot-Pressed,85,60,41,80,0.068
zzzzzzzz,0,Buckwheat,57,Vegiplants,294.0,Straw,236.0,Sawdust,282.0,Sawdust,87.0,cellulose,401.0,CaCO,264.0,CaSO4,235.0,0.52,1,24,0.88,18,2500,Non-Pressed,85,20,65,80,0.094
zzzzzzzz,1,Oatmeal,52,Rapstraw,297.0,Hemp,303.0,Rapstraw,108.0,Rapstraw,192.0,CaSO4,328.0,cellulose,291.0,CaSO4,281.0,0.36,0,21,0.85,24,500,Cold-Pressed,70,13,5,75,0.028
xxxxx,0,BierTreber,85,Grass,265.0,Straw,33.0,Grass,324.0,Straw,278.0,cellulose,469.0,CaCO,355.0,CaCO,76.0,0.32,1,25,0.78,24,3500,Hot-Pressed,75,69,5,80,0.008
zzzzzzzz,1,Barley,78,Biertreber,275.0,Sawdust,320.0,Rapstraw,167.0,Grass,139.0,CaCO,358.0,cellulose,447.0,cellulose,95.0,0.57,1,28,0.87,25,4500,Hot-Pressed,70,35,53,70,0.093
xxxxx,0,Buckwheat,98,Straw,239.0,Rapstraw,188.0,Rapstraw,196.0,Rapstraw,277.0,cellulose,405.0,CaSO4,200.0,CaSO4,294.0,0.35,0,18,0.78,15,3000,Non-Pressed,85,80,17,80,0.044
yyyyyyy,1,Buckwheat,83,Vegiplants,291.0,Vegiplants,397.0,Straw,97.0,Biertreber,115.0,CaCO,111.0,cellulose,452.0,CaCO,337.0,0.52,0,22,0.89,5,3000,Cold-Pressed,85,21,41,70,0.051
yyyyyyy,0,BierTreber,57,Straw,216.0,Grass,94.0,Grass,303.0,Vegiplants,288.0,cellulose,24.0,CaSO4,746.0,cellulose,130.0,0.36,0,19,0.94,13,2000,Hot-Pressed,70,23,17,70,0.046
xxxxx,1,Barley,92,Hemp,130.0,Sawdust,369.0,Rapstraw,211.0,Rapstraw,190.0,cellulose,111.0,CaCO,356.0,CaCO,432.0,0.45,0,28,0.95,9,4500,Hot-Pressed,75,70,5,75,0.022
xxxxx,1,Barley,99,Hemp,549.0,Vegiplants,0.0,Grass,345.0,Grass,6.0,CaSO4,318.0,cellulose,234.0,cellulose,348.0,0.45,0,25,0.84,11,2000,Non-Pressed,85,71,41,85,0.047
zzzzzzzz,1,BierTreber,50,Hemp,159.0,Straw,354.0,Rapstraw,126.0,Vegiplants,261.0,CaCO,429.0,CaSO4,107.0,CaSO4,363.0,0.35,0,27,0.78,17,1500,Cold-Pressed,85,64,5,85,0.039
xxxxx,0,Barley,78,Biertreber,390.0,Vegiplants,346.0,Biertreber,40.0,Grass,125.0,CaCO,157.0,CaSO4,293.0,CaCO,450.0,0.48,1,19,0.63,21,2000,Non-Pressed,75,12,53,75,0.041
zzzzzzzz,1,Oatmeal,51,Biertreber,365.0,Straw,218.0,Rapstraw,20.0,Straw,297.0,CaSO4,98.0,CaSO4,27.0,CaCO,775.0,0.35,1,28,0.61,8,4000,Hot-Pressed,85,22,29,85,0.063
yyyyyyy,0,Oatmeal,78,Biertreber,105.0,Vegiplants,432.0,Grass,210.0,Sawdust,154.0,CaCO,477.0,CaSO4,45.0,CaSO4,378.0,0.44,0,22,0.71,21,2500,Cold-Pressed,85,66,17,80,0.024
zzzzzzzz,0,Buckwheat,83,Grass,138.0,Straw,189.0,Sawdust,378.0,Grass,195.0,cellulose,164.0,CaCO,723.0,cellulose,14.0,0.42,1,19,0.87,24,3500,Hot-Pressed,70,70,17,70,0.077
xxxxx,0,Bulgur,68,Biertreber,18.0,Straw,345.0,Grass,197.0,Rapstraw,339.0,CaSO4,226.0,cellulose,353.0,CaCO,321.0,0.41,0,28,0.68,14,2500,Cold-Pressed,80,53,41,75,0.034
zzzzzzzz,0,Bulgur,87,Grass,124.0,Biertreber,301.0,Biertreber,174.0,Rapstraw,301.0,cellulose,483.0,CaSO4,397.0,CaSO4,20.0,0.46,0,21,0.92,25,2000,Cold-Pressed,85,49,41,80,0.07
xxxxx,1,BierTreber,76,Vegiplants,367.0,Sawdust,247.0,Sawdust,64.0,Grass,222.0,CaCO,367.0,CaCO,201.0,CaCO,332.0,0.58,0,26,0.8,20,3500,Non-Pressed,75,40,41,75,0.017
yyyyyyy,0,Oatmeal,60,Sawdust,98.0,Vegiplants,620.0,Rapstraw,144.0,Straw,38.0,cellulose,670.0,CaCO,180.0,CaSO4,50.0,0.35,0,24,0.94,10,4500,Hot-Pressed,85,58,53,70,0.073
zzzzzzzz,0,Buckwheat,93,Vegiplants,447.0,Hemp,401.0,Grass,15.0,Rapstraw,36.0,CaSO4,70.0,cellulose,404.0,CaSO4,426.0,0.35,0,22,0.69,10,1500,Hot-Pressed,85,68,5,70,0.007
xxxxx,1,Buckwheat,100,Grass,321.0,Straw,106.0,Biertreber,216.0,Rapstraw,257.0,cellulose,296.0,CaSO4,257.0,cellulose,347.0,0.6,1,23,0.73,14,4500,Cold-Pressed,80,76,65,80,0.091
yyyyyyy,1,Bulgur,54,Rapstraw,379.0,Hemp,53.0,Hemp,159.0,Straw,310.0,cellulose,393.0,cellulose,166.0,CaCO,340.0,0.58,0,24,0.81,6,4000,Hot-Pressed,85,43,65,75,0.08
zzzzzzzz,1,Buckwheat,57,Rapstraw,274.0,Biertreber,349.0,Grass,254.0,Vegiplants,24.0,CaSO4,273.0,CaCO,296.0,cellulose,331.0,0.36,0,23,0.84,9,4500,Non-Pressed,80,13,5,85,0.055
xxxxx,0,Oatmeal,87,Straw,111.0,Grass,244.0,Vegiplants,301.0,Vegiplants,244.0,cellulose,612.0,CaCO,61.0,CaSO4,227.0,0.32,1,21,0.92,18,2000,Hot-Pressed,70,48,29,85,0.077
xxxxx,0,Buckwheat,80,Hemp,291.0,Hemp,310.0,Straw,185.0,Biertreber,113.0,CaSO4,251.0,CaCO,418.0,CaCO,231.0,0.54,1,28,0.81,8,4500,Cold-Pressed,80,71,53,70,0.072
yyyyyyy,0,Barley,85,Vegiplants,106.0,Rapstraw,238.0,Sawdust,257.0,Hemp,299.0,cellulose,146.0,CaSO4,347.0,CaCO,407.0,0.49,1,21,0.72,15,2500,Cold-Pressed,70,16,5,85,0.059
yyyyyyy,1,Barley,79,Rapstraw,23.0,Grass,201.0,Biertreber,350.0,Straw,326.0,cellulose,145.0,cellulose,481.0,CaCO,274.0,0.58,0,24,0.86,20,2000,Cold-Pressed,70,47,17,85,0.012
zzzzzzzz,1,Buckwheat,65,Vegiplants,407.0,Rapstraw,115.0,Sawdust,189.0,Rapstraw,189.0,CaSO4,302.0,cellulose,240.0,CaSO4,358.0,0.38,1,26,0.69,5,2000,Hot-Pressed,75,44,5,85,0.081
xxxxx,1,Oatmeal,75,Straw,24.0,Sawdust,300.0,Rapstraw,252.0,Biertreber,324.0,CaSO4,143.0,CaSO4,355.0,CaSO4,402.0,0.34,0,28,0.63,15,4500,Cold-Pressed,85,74,41,70,0.063
yyyyyyy,1,BierTreber,96,Sawdust,155.0,Vegiplants,427.0,Vegiplants,52.0,Rapstraw,265.0,CaSO4,23.0,CaSO4,298.0,CaCO,579.0,0.32,0,27,0.69,23,1000,Hot-Pressed,85,51,17,75,0.052
