strains,gene_edit,spawn_type,spawn_weight,substrate_1,substrate_weight_1,substrate_2,substrate_weight_2,substrate_3,substrate_weight_3,substrate_4,substrate_weight_4,additive_1,additive_2,additive_3,water_absorption,bacteria,Temp_Growtent,Humidity_Growtent,Time_Growtent,CO2_conc,Press_type,Temp_Press,Force_Press,Time_Ovendrying,Temp_Ovendrying,Vacc_Overdrying
yyyyyyy,1,BierTreber,93,Straw,79,Vegiplants,220,Grass,98,Hemp,296,CaSO4,CaSO4,CaSO4,0.37,1,28,0.8550130410872514,25,4500,Cold-Pressed,70,14,65,70,0.041
zzzzzzzz,1,Barley,75,Biertreber,77,Sawdust,242,Rapstraw,89,Straw,232,CaSO4,cellulose,CaSO4,0.33,1,24,0.6771822688676785,8,4500,Hot-Pressed,75,57,5,75,0.003
zzzzzzzz,1,Oatmeal,53,Rapstraw,66,Straw,288,Biertreber,82,Biertreber,252,CaSO4,cellulose,CaSO4,0.33,1,28,0.6883847993308058,17,2000,Hot-Pressed,70,50,17,80,0.082
zzzzzzzz,0,Buckwheat,68,Vegiplants,82,Straw,238,Hemp,66,Biertreber,241,CaCO,CaCO,CaCO,0.53,0,21,0.7578583709483677,25,500,Hot-Pressed,70,53,5,75,0.04
zzzzzzzz,0,Bulgur,100,Grass,75,Biertreber,246,Straw,64,Grass,210,cellulose,CaSO4,CaSO4,0.34,1,19,0.9483298596634138,12,3500,Hot-Pressed,80,45,29,80,0.001
yyyyyyy,0,Oatmeal,61,Biertreber,64,Hemp,211,Hemp,69,Sawdust,279,CaCO,CaSO4,CaCO,0.3,1,20,0.9190572311594116,23,4500,Hot-Pressed,85,32,65,75,0.016
yyyyyyy,0,Buckwheat,71,Biertreber,60,Grass,247,Biertreber,98,Rapstraw,211,CaCO,CaCO,CaSO4,0.47,0,23,0.8142388794457391,15,500,Non-Pressed,85,50,17,85,0.073
xxxxx,1,BierTreber,81,Vegiplants,92,Hemp,227,Rapstraw,98,Grass,232,CaCO,CaCO,cellulose,0.34,0,19,0.8294856620768153,15,1000,Non-Pressed,80,41,17,80,0.04
xxxxx,1,BierTreber,96,Biertreber,68,Sawdust,290,Rapstraw,64,Rapstraw,291,cellulose,cellulose,CaCO,0.34,1,25,0.7760293545263479,15,3000,Non-Pressed,75,60,5,85,0.052
xxxxx,1,Oatmeal,82,Hemp,75,Sawdust,283,Vegiplants,72,Sawdust,213,CaSO4,cellulose,CaCO,0.49,1,28,0.7093373341956366,10,4000,Non-Pressed,75,38,65,70,0.074
xxxxx,0,Oatmeal,90,Vegiplants,67,Straw,258,Straw,70,Rapstraw,250,CaSO4,cellulose,cellulose,0.38,1,20,0.8236168390372425,24,500,Non-Pressed,85,51,65,75,0.073
xxxxx,1,Bulgur,100,Straw,57,Grass,258,Rapstraw,51,Straw,220,CaCO,cellulose,CaCO,0.55,1,23,0.942978365839333,22,2000,Hot-Pressed,70,53,17,70,0.089
yyyyyyy,0,Oatmeal,77,Straw,86,Biertreber,246,Straw,76,Biertreber,233,CaCO,CaCO,CaCO,0.57,0,26,0.7273878844956523,23,1500,Cold-Pressed,85,74,5,80,0.032
xxxxx,1,Buckwheat,85,Hemp,67,Straw,235,Rapstraw,55,Grass,232,CaCO,CaCO,CaSO4,0.5,1,24,0.8011507438326219,5,4000,Cold-Pressed,70,20,29,70,0.033
xxxxx,1,Oatmeal,71,Straw,87,Vegiplants,240,Vegiplants,78,Biertreber,279,CaCO,CaCO,cellulose,0.39,0,24,0.9092461541148226,21,3500,Non-Pressed,75,17,53,70,0.067
yyyyyyy,1,Bulgur,56,Biertreber,63,Sawdust,282,Rapstraw,66,Sawdust,274,CaSO4,CaSO4,CaSO4,0.37,1,26,0.6730795370227373,6,500,Hot-Pressed,80,53,29,85,0.027
yyyyyyy,1,Oatmeal,60,Straw,67,Sawdust,291,Vegiplants,64,Sawdust,297,cellulose,cellulose,cellulose,0.49,0,20,0.6287560985887881,24,2000,Cold-Pressed,70,52,41,70,0.1
xxxxx,0,Barley,62,Grass,52,Straw,276,Sawdust,61,Vegiplants,295,CaCO,cellulose,cellulose,0.46,0,21,0.9373554855678881,15,4500,Non-Pressed,85,59,17,80,0.033
zzzzzzzz,0,Buckwheat,90,Hemp,100,Biertreber,242,Straw,78,Biertreber,288,CaCO,cellulose,cellulose,0.55,0,23,0.8244434156602741,11,4500,Cold-Pressed,70,69,65,75,0.071
xxxxx,0,BierTreber,57,Rapstraw,76,Sawdust,268,Sawdust,92,Hemp,244,CaCO,CaCO,cellulose,0.52,1,20,0.6091682739917134,9,2500,Hot-Pressed,85,65,29,70,0.038
xxxxx,0,Buckwheat,73,Grass,70,Straw,215,Vegiplants,82,Vegiplants,248,cellulose,cellulose,CaCO,0.3,0,27,0.7244893532425852,22,1500,Cold-Pressed,70,50,17,70,0.089
yyyyyyy,0,Buckwheat,65,Vegiplants,95,Biertreber,250,Hemp,56,Sawdust,245,cellulose,CaCO,CaCO,0.51,1,27,0.8474285519382994,7,2000,Hot-Pressed,75,62,53,85,0.047
zzzzzzzz,0,Buckwheat,91,Vegiplants,51,Sawdust,227,Hemp,53,Straw,222,CaSO4,cellulose,CaCO,0.38,0,21,0.6958761063832072,7,500,Hot-Pressed,70,20,65,80,0.028
xxxxx,1,Bulgur,83,Hemp,86,Rapstraw,255,Grass,66,Straw,297,cellulose,CaCO,CaCO,0.36,0,23,0.795351596335922,16,1000,Cold-Pressed,85,67,29,70,0.093
zzzzzzzz,0,Barley,50,Grass,74,Rapstraw,298,Rapstraw,52,Hemp,275,CaSO4,cellulose,CaSO4,0.53,0,27,0.6845565556380997,19,1500,Hot-Pressed,70,46,17,75,0.027
yyyyyyy,0,Buckwheat,87,Vegiplants,81,Vegiplants,263,Hemp,73,Straw,231,cellulose,CaSO4,CaCO,0.34,0,18,0.8215478230097848,24,1500,Non-Pressed,70,13,5,85,0.051
xxxxx,0,Oatmeal,52,Vegiplants,97,Hemp,224,Rapstraw,97,Straw,262,cellulose,CaSO4,cellulose,0.54,1,23,0.733426345758472,16,1000,Non-Pressed,70,37,29,85,0.004
zzzzzzzz,0,Barley,87,Sawdust,77,Rapstraw,226,Vegiplants,82,Biertreber,209,CaSO4,CaSO4,CaSO4,0.38,0,26,0.7231788467090636,11,1000,Non-Pressed,85,39,53,85,0.063
yyyyyyy,1,Oatmeal,80,Grass,80,Sawdust,275,Straw,80,Grass,285,cellulose,CaSO4,CaSO4,0.46,1,22,0.6318959330015478,5,4000,Cold-Pressed,70,72,65,75,0.076
yyyyyyy,1,Oatmeal,98,Sawdust,72,Rapstraw,200,Grass,98,Hemp,206,CaCO,CaSO4,CaCO,0.3,0,22,0.914462935096612,10,4500,Cold-Pressed,70,26,41,80,0.079
zzzzzzzz,0,Oatmeal,88,Sawdust,96,Rapstraw,220,Rapstraw,72,Hemp,282,CaCO,CaSO4,CaCO,0.58,0,25,0.701535021469496,11,1500,Hot-Pressed,85,56,41,70,0.095
zzzzzzzz,1,Oatmeal,98,Grass,80,Grass,233,Hemp,87,Sawdust,297,CaSO4,CaCO,CaSO4,0.4,1,25,0.7459858121148354,5,1500,Cold-Pressed,75,61,41,85,0.002
yyyyyyy,1,Oatmeal,73,Vegiplants,50,Biertreber,266,Biertreber,91,Grass,258,CaSO4,cellulose,cellulose,0.49,0,21,0.6761133774824808,17,2000,Cold-Pressed,80,12,53,85,0.041
yyyyyyy,1,Bulgur,56,Biertreber,71,Sawdust,263,Sawdust,51,Hemp,224,cellulose,CaCO,CaSO4,0.52,0,27,0.9155712499462962,19,1500,Hot-Pressed,80,57,29,70,0.055
yyyyyyy,1,BierTreber,57,Hemp,90,Rapstraw,228,Hemp,68,Sawdust,257,CaCO,CaCO,cellulose,0.54,1,22,0.6897937506823693,13,4500,Cold-Pressed,75,61,53,80,0.023
xxxxx,1,BierTreber,89,Straw,73,Rapstraw,251,Sawdust,66,Sawdust,294,cellulose,CaCO,CaSO4,0.58,1,26,0.7841802330823566,24,2000,Cold-Pressed,75,76,5,85,0.015
yyyyyyy,0,BierTreber,52,Sawdust,55,Rapstraw,297,Sawdust,69,Sawdust,218,CaCO,cellulose,CaSO4,0.41,1,22,0.602998078314327,11,2500,Non-Pressed,85,31,29,75,0.027
yyyyyyy,0,Bulgur,56,Grass,95,Hemp,273,Sawdust,93,Rapstraw,293,CaSO4,CaCO,CaCO,0.3,0,19,0.6535281189375637,6,4500,Cold-Pressed,70,41,29,80,0.018
yyyyyyy,1,BierTreber,87,Grass,87,Biertreber,264,Grass,65,Biertreber,224,cellulose,CaSO4,CaCO,0.38,1,21,0.903882370011394,18,3000,Cold-Pressed,70,53,29,85,0.042
zzzzzzzz,0,Oatmeal,53,Sawdust,80,Rapstraw,282,Rapstraw,80,Hemp,289,cellulose,CaSO4,CaCO,0.55,1,18,0.6593296506261235,24,4500,Non-Pressed,70,10,17,70,0.071
xxxxx,1,BierTreber,81,Rapstraw,61,Sawdust,288,Straw,67,Vegiplants,239,CaSO4,CaCO,cellulose,0.54,1,21,0.8300843946278798,13,3500,Hot-Pressed,85,39,5,70,0.031
zzzzzzzz,0,Barley,76,Straw,67,Sawdust,282,Grass,78,Biertreber,230,cellulose,cellulose,CaCO,0.45,1,20,0.6168536806361886,7,2000,Non-Pressed,70,80,53,70,0.02
xxxxx,1,Buckwheat,76,Biertreber,53,Vegiplants,246,Vegiplants,87,Straw,219,CaSO4,CaCO,CaSO4,0.45,1,23,0.7573169467438924,22,3000,Non-Pressed,80,22,65,85,0.026
zzzzzzzz,1,Barley,58,Hemp,74,Rapstraw,290,Straw,69,Sawdust,200,CaSO4,cellulose,CaCO,0.54,1,26,0.752473637807858,8,4500,Hot-Pressed,85,77,17,80,0.028
yyyyyyy,1,BierTreber,70,Grass,80,Straw,235,Vegiplants,57,Biertreber,256,CaCO,CaSO4,CaSO4,0.57,1,23,0.8378886341255454,17,500,Hot-Pressed,80,30,5,70,0.007
zzzzzzzz,0,Oatmeal,63,Hemp,79,Hemp,231,Rapstraw,68,Grass,220,CaSO4,cellulose,CaCO,0.36,1,25,0.8193414437663622,9,4500,Cold-Pressed,70,36,29,75,0.088
zzzzzzzz,0,BierTreber,71,Biertreber,74,Biertreber,268,Hemp,86,Straw,288,CaCO,cellulose,CaCO,0.59,1,26,0.7796154258745334,9,4500,Hot-Pressed,85,23,65,70,0.037
xxxxx,0,BierTreber,87,Rapstraw,99,Hemp,287,Vegiplants,61,Straw,218,CaSO4,CaCO,CaCO,0.51,1,28,0.6484580085992498,6,500,Non-Pressed,75,14,17,75,0.038
xxxxx,0,Bulgur,85,Vegiplants,78,Straw,217,Sawdust,76,Rapstraw,208,CaSO4,cellulose,CaCO,0.38,1,27,0.9010776570364424,23,2000,Non-Pressed,80,52,5,80,0.059
xxxxx,1,Buckwheat,87,Vegiplants,87,Hemp,225,Vegiplants,73,Sawdust,265,CaCO,CaCO,cellulose,0.35,1,22,0.8498328465697873,14,1500,Non-Pressed,70,68,41,75,0.048
zzzzzzzz,0,Barley,75,Hemp,65,Biertreber,232,Hemp,53,Hemp,295,cellulose,CaSO4,CaCO,0.56,0,23,0.9234227602265954,23,1500,Cold-Pressed,80,46,41,85,0.037
xxxxx,1,BierTreber,59,Straw,92,Grass,270,Hemp,69,Hemp,244,CaSO4,cellulose,cellulose,0.51,1,23,0.8786992765352437,16,2500,Hot-Pressed,85,47,65,85,0.084
xxxxx,0,BierTreber,70,Vegiplants,53,Grass,242,Straw,81,Grass,290,CaSO4,CaCO,cellulose,0.6,0,22,0.8256598762922885,12,1000,Cold-Pressed,80,10,53,80,0.024
zzzzzzzz,0,Oatmeal,82,Hemp,65,Vegiplants,281,Biertreber,84,Biertreber,276,cellulose,CaSO4,CaSO4,0.58,1,22,0.9232652188030015,25,1500,Non-Pressed,75,55,17,80,0.006
zzzzzzzz,1,Barley,100,Rapstraw,82,Straw,244,Sawdust,84,Straw,269,CaCO,CaSO4,CaSO4,0.35,0,27,0.8758062723905407,12,1500,Non-Pressed,80,32,53,85,0.053
xxxxx,1,Barley,52,Rapstraw,80,Grass,208,Hemp,81,Straw,231,CaCO,cellulose,CaSO4,0.41,0,18,0.7065273122373184,21,3000,Hot-Pressed,80,18,5,85,0.067
yyyyyyy,0,Barley,78,Rapstraw,84,Hemp,285,Grass,70,Sawdust,279,CaSO4,cellulose,CaCO,0.33,0,19,0.6270994099617774,25,3000,Hot-Pressed,85,76,41,75,0.006
yyyyyyy,0,BierTreber,82,Vegiplants,91,Vegiplants,292,Vegiplants,72,Vegiplants,221,CaSO4,CaCO,CaCO,0.36,1,27,0.690718732019998,22,500,Cold-Pressed,75,38,29,70,0.068
zzzzzzzz,0,Buckwheat,70,Sawdust,98,Straw,268,Rapstraw,79,Sawdust,279,CaCO,CaSO4,CaCO,0.42,1,21,0.9340534835599184,6,500,Non-Pressed,70,50,17,75,0.094
zzzzzzzz,1,Barley,96,Vegiplants,87,Sawdust,231,Straw,75,Straw,262,CaSO4,CaCO,cellulose,0.33,0,18,0.6524207709521819,22,500,Non-Pressed,75,20,41,70,0.037
xxxxx,0,BierTreber,82,Rapstraw,79,Grass,264,Rapstraw,63,Hemp,300,CaCO,CaCO,CaCO,0.32,0,20,0.7678528250113796,25,2000,Hot-Pressed,85,23,53,85,0.039
xxxxx,0,BierTreber,67,Vegiplants,65,Rapstraw,207,Sawdust,66,Hemp,257,cellulose,CaSO4,cellulose,0.35,1,23,0.6492129241353236,25,2000,Non-Pressed,85,48,5,70,0.099
yyyyyyy,0,Bulgur,91,Straw,50,Vegiplants,274,Straw,76,Straw,210,CaSO4,CaSO4,cellulose,0.34,1,23,0.9089782433674161,25,2500,Non-Pressed,75,51,17,85,0.056
zzzzzzzz,1,Barley,53,Rapstraw,50,Vegiplants,280,Hemp,92,Vegiplants,244,CaCO,CaSO4,CaSO4,0.56,1,22,0.6033544103096358,16,2000,Hot-Pressed,75,76,29,70,0.044
zzzzzzzz,1,BierTreber,55,Straw,81,Straw,293,Biertreber,57,Straw,228,CaCO,cellulose,CaCO,0.36,0,28,0.6491063238866805,17,4000,Hot-Pressed,70,36,17,75,0.05
zzzzzzzz,1,Oatmeal,84,Grass,82,Sawdust,240,Sawdust,89,Hemp,215,CaCO,cellulose,CaSO4,0.57,1,23,0.6226353304684579,17,500,Hot-Pressed,85,14,53,70,0.012
yyyyyyy,0,Bulgur,91,Rapstraw,62,Sawdust,264,Biertreber,59,Straw,247,CaSO4,cellulose,CaCO,0.47,0,20,0.6159646684697329,14,3000,Cold-Pressed,70,31,53,80,0.045
zzzzzzzz,1,BierTreber,72,Straw,63,Straw,236,Vegiplants,66,Straw,247,cellulose,cellulose,CaCO,0.47,0,20,0.6338044290265594,6,1000,Non-Pressed,70,56,17,70,0.09
zzzzzzzz,1,Bulgur,91,Vegiplants,94,Biertreber,273,Rapstraw,97,Grass,298,CaSO4,cellulose,cellulose,0.37,0,26,0.7186369205419729,18,3000,Hot-Pressed,80,37,41,75,0.007
xxxxx,0,BierTreber,90,Rapstraw,90,Sawdust,208,Hemp,57,Vegiplants,239,CaSO4,CaCO,CaCO,0.36,0,20,0.7560125613561801,22,3000,Hot-Pressed,80,53,17,75,0.07
yyyyyyy,1,BierTreber,90,Rapstraw,52,Grass,260,Rapstraw,86,Straw,247,CaSO4,CaSO4,CaSO4,0.55,1,25,0.8620346835298476,25,3000,Non-Pressed,75,57,41,75,0.09
xxxxx,1,Barley,100,Straw,94,Sawdust,296,Rapstraw,62,Grass,254,CaSO4,cellulose,CaCO,0.39,1,22,0.8528986207912699,7,2500,Non-Pressed,70,10,65,70,0.053
zzzzzzzz,1,Bulgur,80,Vegiplants,65,Sawdust,200,Vegiplants,50,Rapstraw,281,CaSO4,CaCO,cellulose,0.39,1,20,0.8371587009704973,15,500,Cold-Pressed,75,59,41,80,0.022
yyyyyyy,1,Barley,92,Biertreber,89,Vegiplants,204,Vegiplants,80,Grass,227,CaCO,cellulose,CaCO,0.41,0,27,0.663402411860329,23,3500,Non-Pressed,85,35,53,75,0.008
xxxxx,0,Buckwheat,62,Sawdust,53,Hemp,261,Vegiplants,59,Straw,286,CaCO,CaCO,CaSO4,0.45,1,25,0.9268515200198509,12,1500,Hot-Pressed,80,69,53,75,0.055
yyyyyyy,0,Oatmeal,67,Grass,99,Grass,292,Grass,72,Vegiplants,208,cellulose,CaCO,CaSO4,0.38,1,20,0.6921469258877043,17,2000,Hot-Pressed,80,72,29,75,0.098
zzzzzzzz,0,Barley,80,Vegiplants,50,Sawdust,294,Rapstraw,53,Rapstraw,286,CaSO4,CaSO4,cellulose,0.54,1,24,0.7274495952412978,24,4500,Hot-Pressed,85,47,5,85,0.039
yyyyyyy,1,Oatmeal,99,Vegiplants,71,Straw,260,Hemp,87,Straw,242,CaCO,CaSO4,cellulose,0.32,0,27,0.6307099169891237,20,2000,Non-Pressed,70,59,65,80,0.082
yyyyyyy,1,Oatmeal,64,Grass,67,Vegiplants,253,Sawdust,96,Grass,281,CaCO,CaSO4,cellulose,0.45,1,18,0.8097586258831653,12,2000,Hot-Pressed,75,67,29,75,0.042
xxxxx,1,Buckwheat,67,Straw,83,Grass,273,Grass,73,Straw,292,CaSO4,CaSO4,CaSO4,0.58,1,27,0.6347507799576679,10,4500,Hot-Pressed,75,43,29,80,0.093
xxxxx,1,Bulgur,50,Sawdust,71,Vegiplants,207,Biertreber,83,Hemp,217,cellulose,CaSO4,CaCO,0.39,0,18,0.921766332571007,20,3500,Non-Pressed,85,37,53,80,0.065
xxxxx,1,Bulgur,58,Rapstraw,99,Straw,245,Hemp,55,Straw,286,cellulose,cellulose,cellulose,0.39,1,22,0.8669199691486864,7,4000,Hot-Pressed,80,45,41,80,0.076
zzzzzzzz,0,Barley,64,Rapstraw,93,Vegiplants,252,Sawdust,77,Sawdust,267,CaCO,CaSO4,CaCO,0.33,1,28,0.7151226529011568,25,3500,Cold-Pressed,80,54,41,85,0.087
yyyyyyy,0,Oatmeal,63,Rapstraw,90,Vegiplants,237,Straw,99,Sawdust,213,cellulose,CaCO,cellulose,0.36,1,26,0.7226306981756372,16,2000,Hot-Pressed,70,11,17,70,0.055
yyyyyyy,0,Buckwheat,96,Hemp,67,Biertreber,275,Rapstraw,81,Grass,239,CaSO4,CaSO4,cellulose,0.54,0,22,0.8402960191583226,22,1000,Cold-Pressed,80,63,65,85,0.03
xxxxx,0,BierTreber,63,Biertreber,55,Straw,267,Biertreber,69,Sawdust,299,cellulose,CaSO4,cellulose,0.58,0,21,0.881524898686934,16,2000,Hot-Pressed,70,51,65,70,0.047
zzzzzzzz,0,Buckwheat,96,Biertreber,65,Vegiplants,294,Sawdust,96,Grass,285,CaCO,CaCO,CaSO4,0.42,0,28,0.8511630801152991,14,1000,Cold-Pressed,75,17,17,85,0.082
yyyyyyy,1,Buckwheat,75,Rapstraw,59,Sawdust,277,Vegiplants,74,Grass,260,CaSO4,cellulose,cellulose,0.3,0,22,0.8657536708278317,8,2000,Cold-Pressed,80,12,41,70,0.035
xxxxx,1,BierTreber,50,Grass,90,Hemp,237,Biertreber,81,Vegiplants,275,CaCO,CaSO4,cellulose,0.48,1,25,0.8191870508274718,24,1500,Non-Pressed,70,70,29,80,0.08
yyyyyyy,0,Barley,69,Rapstraw,99,Vegiplants,217,Biertreber,53,Biertreber,298,cellulose,cellulose,CaCO,0.37,1,24,0.7605444827322556,23,2000,Hot-Pressed,70,56,17,75,0.042
zzzzzzzz,0,BierTreber,77,Biertreber,60,Grass,256,Sawdust,52,Rapstraw,298,CaSO4,CaSO4,CaSO4,0.4,1,24,0.8889783585522724,13,3000,Hot-Pressed,80,72,41,75,0.061
xxxxx,0,Oatmeal,87,Vegiplants,64,Biertreber,229,Straw,60,Rapstraw,224,CaSO4,CaCO,CaCO,0.57,1,24,0.7609803719846,17,1500,Non-Pressed,85,36,41,85,0.092
xxxxx,1,Bulgur,91,Biertreber,51,Sawdust,207,Rapstraw,82,Straw,281,CaCO,cellulose,CaSO4,0.44,1,23,0.8810145756029334,7,1500,Hot-Pressed,70,57,29,75,0.059
xxxxx,0,Bulgur,63,Biertreber,62,Sawdust,254,Vegiplants,54,Vegiplants,231,cellulose,cellulose,cellulose,0.34,0,26,0.8078069452930485,20,1000,Cold-Pressed,70,11,5,85,0.054
xxxxx,0,Barley,70,Biertreber,67,Rapstraw,212,Rapstraw,89,Rapstraw,243,cellulose,CaSO4,cellulose,0.32,1,21,0.7108981919921463,19,4000,Cold-Pressed,75,69,5,85,0.089
zzzzzzzz,0,Bulgur,63,Rapstraw,79,Vegiplants,266,Straw,85,Sawdust,294,CaSO4,cellulose,CaCO,0.52,0,26,0.6898836437907401,15,3000,Cold-Pressed,80,73,29,75,0.099
xxxxx,0,Bulgur,85,Grass,77,Hemp,293,Biertreber,78,Biertreber,255,CaSO4,cellulose,cellulose,0.32,1,26,0.6941295177598931,7,4000,Hot-Pressed,70,31,17,80,0.079
yyyyyyy,1,Oatmeal,71,Rapstraw,55,Straw,289,Biertreber,61,Sawdust,273,CaCO,CaSO4,CaSO4,0.42,1,19,0.7042517821842291,24,500,Cold-Pressed,80,52,53,70,0.007
yyyyyyy,0,Oatmeal,51,Rapstraw,73,Vegiplants,232,Hemp,63,Grass,294,CaCO,cellulose,CaCO,0.35,1,18,0.7897322994923279,20,1500,Cold-Pressed,85,48,65,70,0.076
zzzzzzzz,0,Barley,80,Biertreber,56,Vegiplants,291,Vegiplants,72,Grass,252,CaCO,cellulose,cellulose,0.4,0,27,0.7064513482005003,6,4500,Hot-Pressed,75,35,53,80,0.03
xxxxx,0,Bulgur,94,Sawdust,100,Rapstraw,227,Hemp,92,Sawdust,218,cellulose,CaCO,cellulose,0.59,0,27,0.7655535504728143,10,1000,Hot-Pressed,75,66,17,85,0.048
yyyyyyy,0,BierTreber,75,Grass,74,Sawdust,213,Biertreber,65,Rapstraw,289,CaSO4,cellulose,CaSO4,0.34,1,28,0.9176853096354034,19,2500,Non-Pressed,75,45,65,70,0.017
xxxxx,0,Buckwheat,52,Vegiplants,62,Vegiplants,218,Biertreber,63,Biertreber,272,CaCO,CaCO,CaSO4,0.31,0,25,0.9130415354264902,11,2000,Hot-Pressed,70,32,5,70,0.069
zzzzzzzz,0,Buckwheat,78,Grass,83,Straw,211,Straw,93,Rapstraw,259,CaCO,CaSO4,cellulose,0.49,0,26,0.759725128870531,16,2000,Hot-Pressed,75,59,65,80,0.081
xxxxx,0,Barley,50,Hemp,63,Sawdust,264,Straw,56,Hemp,216,CaCO,CaCO,CaSO4,0.33,0,20,0.917670787805984,7,1000,Hot-Pressed,85,26,41,75,0.008
xxxxx,1,Oatmeal,51,Grass,96,Sawdust,260,Straw,68,Hemp,290,CaSO4,CaCO,CaSO4,0.56,0,27,0.6123805609113413,17,4000,Cold-Pressed,85,39,41,75,0.079
yyyyyyy,1,Buckwheat,69,Vegiplants,80,Grass,287,Sawdust,63,Straw,264,CaSO4,CaSO4,cellulose,0.54,1,21,0.8672549455081828,20,2000,Hot-Pressed,80,44,53,85,0.015
yyyyyyy,0,Barley,53,Straw,68,Rapstraw,265,Vegiplants,94,Biertreber,218,cellulose,cellulose,cellulose,0.37,1,27,0.7900446939410932,22,4500,Hot-Pressed,85,66,29,70,0.1
zzzzzzzz,0,Bulgur,82,Biertreber,79,Grass,291,Sawdust,62,Biertreber,242,CaSO4,cellulose,CaSO4,0.54,1,26,0.7495405239357076,13,4500,Hot-Pressed,75,49,41,70,0.031
yyyyyyy,0,Barley,98,Biertreber,57,Sawdust,272,Hemp,74,Sawdust,205,CaSO4,CaCO,CaCO,0.43,1,26,0.935890974030196,21,2000,Non-Pressed,80,77,17,85,0.06
yyyyyyy,1,Barley,94,Hemp,61,Straw,249,Straw,70,Rapstraw,227,CaSO4,CaSO4,cellulose,0.49,1,25,0.8853469487348149,25,1000,Non-Pressed,75,44,65,75,0.012
